street_fi,street_sv,lono,hino
Aholantie,,2,
Ala-Maitolammintie,,6,
Ala-Vuotsantie,,6,
Anttilanmäentie,,2,
Enonsalontie,,13,41
Haukijärventie,,4,24
Havukkavaarantie,,13,42
Heinälammentie,,9,
Hiienrannantie,,1,2
Hiienvaarantie,,6,16
Hovinvaarantie,,2,6
Hyökönlahdentie,,5,
Jaakonvaarantie,,16,
Juuansaarentie,,,
Kaiskonrannantie,,1,2
Kalmutlahdentie,,3,3
Kauvonniementie,,2,11
Kelovaarantie,,5,
Kivilahdenraitti,,5,7
Kivilahdentie,,207,311
Kivipurontie,,3,
Kivirannantie,,3,3
Kivisalmentie,,19,29
Koiraniementie,,4,6
Koitereen Helmentie,,6,
Korpirannantie,,3,3
Kortevaarantie,,2,17
Kotalahdentie,,8,
Kotaniementie,,2,8
Kotarannantie,,1,
Koukkuniemenite,,,
Koukkuniementie,,5,14
Kouluntie,,1,7
Kuoralahdentie,,6,18
Kuusenjuurentie,,1,3
Laajarannantie,,6,
Lapinmäentie,,1,3
Louhiniementie,,13,
Marjaniementie,,4,4
Metsälammintie,,29,
Mielanrannantie,,10,
Mielanvaarantie,,16,
Mäkeläntie,,1,7
Mäntylahdentie,,1,11
Oittilantie,,1,
Pajulahdentie,,3,12
Pekkalantie,,3,
Pekkarinniementie,,8,39
Pieni-Mielantie,,3,
Rahasaarentie,,7,9
Ressanrannantie,,26,35
Rosvolahdentie,,6,7
Ruotinniementie,,11,46
Rutnikkaniementie,,18,28
Saksalantie,,6,
Savirannantie,,2,4
Sienimetsäntie,,4,6
Sikrenlahdentie,,5,5
Sikrenniementie,,19,19
Simananniementie,,10,14
Sormusenahontie,,2,16
Suomunjoentie,,39,45
Suukyläntie,,7,65
Suuponlammintie,,14,
Suupontie,,8,18
Syvärannantie,,3,
Särkilammintie,,6,
Tahvanantie,,2,
Taivaanpankontie,,1,3
Telkkäkankaantie,,11,17
Tuulirannantie,,1,2
Uurontie,,17,35
Vesivaarantie,,3,10
Vihtajärventie,,6,10
Vinkarantie,,12,171
Välilammintie,,5,5
Välisuontie,,6,
Väliuurontie,,5,
