street_fi,street_sv,lono,hino
Ahosentie,,92,104
Ahotie,,1,14
Enorannantie,,,
Haikanniementie,,89,107
Hallikankaantie,,8,316
Haravakuja,,3,8
Hartolantie,,13,414
Haukiniementie,,41,115
Heinolantie,,36,
Hietaniementie,,20,59
Hirsikankaantie,,12,74
Honkaniementie,,1,976
Honkarannantie,,82,88
Horpuntie,,77,
Iivarinpohjantie,,126,132
Jokiniementie,,30,58
Jokitie,,1,9
Joutsantie,,1,641
Juhlakuja,,1,
Jussilantie,,2,71
Jynhäntie,,75,193
Järveläntie,,272,272
Kalliolantie,,37,93
Kanervakankaantie,,4,20
Kanttorinkuja,,3,
Katajistontie,,68,108
Kaunistontie,,103,
Kaupinkyläntie,,35,323
Kaupinmäentie,,15,319
Kaupinpolku,,14,50
Kellokallio,,,
Kerminkoskentie,,158,321
Keskisentie,,67,97
Kesätie,,3,29
Ketveneentie,,39,67
Kimmontie,,113,
Kinttulanvuorentie,,92,
Kirkkotie,,1,13
Kirvesniementie,,60,220
Koivulantie,,22,38
Koivuniementie,,46,114
Korvenkalliontie,,4,216
Koukkuniementie,,14,62
Kukkolantie,,39,237
Kuntotie,,3,16
Kuortintie,,121,610
Kyhkyläntie,,2,371
Kyllästämöntie,,23,29
Kyntäjäntie,,6,
Lahtelantie,,39,188
Laitorannantie,,23,52
Lamposaari,,,
Lehtimäentie,,187,
Leppälammentie,,52,
Lintukalliontie,,111,119
Lintumäentie,,8,110
Lummeranta,,5,
Lusintie,,6,164
Markunkuja,,1,
Matinrannantie,,74,88
Metsäkuja,,1,4
Museotie,,7,27
Muuperintie,,78,
Myllytie,,1,23
Mäkikuja,,2,
Mäkitie,,3,
Mäntytie,,1,7
Niiniseläntie,,5,117
Nipulinmetsätie,,36,270
Ojansuuntie,,6,123
Palstapolku,,3,9
Papulantie,,161,165
Pentinrannantie,,27,37
Penttiläntie,,65,173
Pertuntie,,1,53
Peruvedentie,,,
Pikkulantie,,20,68
Pitkäjärventie,,25,266
Pitkäläntie,,11,45
Poste Restante,,,
Pulierinpolku,,19,77
Pulierintie,,39,65
Punakiventie,,1,728
Puolukkatie,,2,9
Pursulantie,,1,10
Pöylinniementie,,13,
Raitalantie,,3,41
Riita-Ahontie,,21,45
Riutantie,,9,152
Ruonintie,,4,106
Ruusulanrantatie,,28,64
Sirppikuja,,2,
Sulunahontie,,13,
Suopellontie,,38,
Syrjälahdentie,,53,
Takatie,,1,3
Tillinniementie,,36,64
Toivolantie,,22,183
Uittoniementie,,3,77
Vallesmanninmutka,,6,15
Vasikanraitti,,14,36
Vasikkaniementie,,7,90
Vehkosuontie,,1,13
Veljestie,,2,20
Vesikuja,,1,3
Viikatekuja,,1,
Viitaniementie,,3,41
Virastokuja,,1,
Virmalantie,,27,
Vuoksenkuja,,5,
Vuoksenrannantie,,1,7
