street_fi,street_sv,lono,hino
Ahonniska,,,
Haasianlahdentie,,5,149
Hakulintie,,1,273
Halkoniementie,,1,127
Hangaslahdentie,,48,79
Hepoluhdantie,,1,19
Herjaantie,,17,100
Hietalahdentie,,349,349
Hyttysentie,,278,
Härkiöntie,,1,15
Judinsalo,,,
Juhannussaarentie,,5,11
Jutilantie,,19,
Jyrtyntie,,10,133
Kaituentie,,53,63
Kallioniementie,,116,176
Kalliorannantie,,29,55
Kariniementie,,14,84
Karkeentie,,5,17
Kattilaniemi,,,
Keihäsniemi,,,
Keitaa,,,
Keskustie,,3,89
Ketunkankaantie,,94,100
Kiiskiläntie,,111,195
Koivistontie,,13,21
Koivurinteentie,,19,68
Kornetintie,,4,
Kotaniementie,,10,160
Kotavuorentie,,21,51
Kotilahdentie,,10,340
Kotipellontie,,1,7
Kotkalantie,,4,70
Kotkatlahdentie,,118,172
Kuoreniemi,,,
Kuskinkuja,,3,
Költerintie,,59,
Laidonmäentie,,53,57
Laivarannantie,,19,343
Laviontie,,2,122
Lehmolantie,,77,93
Lehtimäentie,,5,25
Luhangantie,,467,790
Luhankajärventie,,1,16
Luhtatie,,4,23
Lylylahdentie,,20,116
Lähteeläntie,,45,75
Mustalahdentie,,45,
Mämminiementie,,1,257
Naulaniementie,,37,241
Niittytie,,31,
Ojarannantie,,28,
Olavinkuja,,1,3
Oneinen,,,
Onkeli,,,
Onkisalo,,,
Onkisalontie,,65,
Pahkakuja,,3,
Pajuniementie,,5,71
Petäisniementie,,15,40
Pirttilahdentie,,96,
Pohjaanlahdentie,,19,174
Poste Restante,,,
Pyryläntie,,64,178
Pyyryläntie,,,
Pölkkyniementie,,156,
Pörssi,,,
Rainionniementie,,17,251
Rantatie,,1,10
Rauanniementie,,41,81
Rekolankyläntie,,39,550
Retuentie,,68,91
Riiniementie,,27,122
Rikkolantie,,79,89
Ristiniementie,,1,102
Runttilantie,,36,54
Salmentie,,25,126
Sarvenkalliontie,,21,41
Siikaniementie,,82,144
Sikojärventie,,33,284
Sikosaarentie,,62,64
Sunttivuorentie,,60,103
Sysmäntie,,24,1655
Syvälahdentie,,116,148
Syväniementie,,121,127
Talaspolku,,1,5
Tommolantie,,1,416
Toritie,,1,
Vaherintie,,109,209
Varmantie,,6,34
Viistintie,,13,191
Vuoksensalmi,,,
Ylä-Varman Tie,,103,472
Ämmäläntie,,23,
