street_fi,street_sv,lono,hino
A 727 Purnumukka,,,
Ajokastie,,4,18
Hiljantie,,4,13
Iso-Ojanvarsi,,63,78
Ivalontie,,8541,10820
Jorpulitie,,29,
Jänkäkurpankuja,,4,
Kaita-Kotsamontie,,34,
Karhuntie,,4,12
Katramorostontie,,,
Kenttäläntie,,16,46
Kenturantie,,,
Kievarinaavantie,,21,62
Kotivaarankuja,,7,
Kotsamolammentie,,2,13
Kultaunenpolku,,34,
Kurjenkuja,,8,15
Kuru-Jussinkuja,,10,
Kuusikiekeröntie,,46,245
Käpykankaantie,,25,
Lauttaharjuntie,,63,
Leinonperäntie,,18,234
Luuhkatie,,3,7
Mäkäräntie,,19,755
Nutukastie,,11,11
Nälkämaantie,,,
Peskitie,,5,
Pieranperä,,5,92
Polkutie,,14,32
Poropolku,,5,22
Purnumukantie,,290,437
Purnuvaarantie,,,
Rantasipinkuja,,1,13
Riestonranta,,143,
Sarvikotamaantie,,20,496
Sauva-Aslakantie,,8,
Sirrikuja,,8,
Sompiojärventie,,3,191
Suopunkitie,,5,24
Säpikästie,,3,29
Taivallammentie,,3,119
Tietäjäntie,,26,
Tyllinkuja,,4,13
Vaulontie,,,
Viklonkuja,,4,
