street_fi,street_sv,lono,hino
Ahdinkatu,,1,3
Ahvensaari,,7,25
Apollonkatu,,3,18
Haapalantie,,17,81
Haimlinnunlenkki,,2,28
Hakamäenkatu,,2,11
Hakoportaankatu,,1,4
Heinonkatu,,1,22
Heinäkatu,,1,25
Helsingintie,,545,625
Hietakallionkatu,,1,7
Hirvenkatu,,1,18
Honkaharjunkatu,,1,16
Honkaniitynkatu,,1,4
Hopeamäenraitti,,1,4
Hurtanmaantie,,1,482
Huuhtakatu,,1,12
Häränkatu,,1,26
Häyhänniementie,,13,50
Iitiänkuja,,,
Jalopeurankatu,,1,11
Jousimiehenkatu,,2,10
Jupiterinkatu,,2,11
Jänönkatu,,3,11
Järviniitunkatu,,2,5
Kaartinkatu,,1,8
Kaivokorvenkatu,,1,26
Kaivosuonkatu,,1,6
Kaksostenkatu,,1,24
Kalankatu,,3,17
Kallioisenkatu,,1,16
Kalliomäentie,,20,57
Kalliopellonkatu,,3,13
Kankaanrannantie,,270,
Karhumäenkatu,,1,6
Kariharjunkuja,,3,5
Karinkatu,,1,23
Kauriinkatu,,1,49
Kelorinne,,1,6
Kettukivenkatu,,1,15
Kierniemenraitti,,1,8
Kiertokatu,,2,29
Kinnarintie,,,
Kirkkomäentie,,,
Kiurunkatu,,1,6
Kiviesteenkatu,,1,13
Kivikkokatu,,1,23
Kiviniementie,,10,45
Kivirinne,,2,4
Kolokuja,,1,6
Korpikunnaankatu,,1,5
Korpimaankatu,,1,7
Korpimetsänkatu,,3,10
Korpisuonkatu,,1,17
Korsukatu,,1,9
Korteislahdentie,,34,64
Kotikolonkatu,,2,34
Kotikulma,,36,40
Kotipellonkatu,,1,34
Kotisuonkatu,,1,17
Kotkankatu,,1,38
Kotolanpolku,,3,
Kulokatu,,1,10
Kuutostie,,47,943
Kypäräkatu,,1,17
Käpälämäenkatu,,1,35
Kärenkuja,,21,65
Kärentie,,7,373
Laakkolantie,,49,150
Lahdenpellonkatu,,1,6
Lamminvuorentie,,8,159
Lampisuonkatu,,1,11
Laserkatu,,1,12
Lauttaniementie,,193,327
Lavolantie,,1,70
Leivonkatu,,1,10
Leppälänkatu,,1,6
Leppäniementie,,30,34
Liesharjunkatu,,1,11
Liito-Oravankaari,,1,31
Linnunrata,,1,10
Lähdemäenkatu,,,
Lähteennotkonkatu,,1,8
Majavankatu,,1,22
Majavanraitti,,3,
Mannuntie,,21,107
Merenlahdentie,,1,529
