street_fi,street_sv,lono,hino
Aamukallionkatu,,5,22
Aamukatu,,1,5
Ahtialantie,,137,
Ahtolankatu,,1,8
Alpikatu,,1,
Arinakatu,,1,4
Arvonkatu,,2,37
Hakaportinkatu,,33,42
Halavakatu,,3,12
Halavapolku,,1,10
Hehkukatu,,1,6
Heikkerönkatu,,1,6
Hohdekatu,,1,8
Hyytynhaara,,16,
Hyytyntie,,60,92
Hyötilänkatu,,1,8
Iltakallionkatu,,1,19
Isotarhankatu,,1,11
Jumperinkatu,,1,30
Kaarlaaksonkatu,,2,41
Kalskekatu,,1,13
Kantolankatu,,1,6
Kanukkakatu,,1,17
Kastekatu,,1,21
Kaustinkatu,,1,10
Ketunpesänkatu,,1,4
Kilkekatu,,1,6
Kirkaskatu,,1,8
Kirsikkakatu,,1,7
Kiulukatu,,1,6
Kivipellonkatu,,1,8
Kohokatu,,1,14
Koiskalantie,,115,497
Koisokatu,,,
Konttikatu,,1,4
Korikatu,,1,6
Korpimaantie,,1,13
Kotiportinkatu,,1,12
Koulumäenkatu,,1,29
Koulumäentie,,16,
Kukonaronkatu,,3,19
Kuoppamäenkatu,,1,18
Kuusamapolku,,1,4
Kärensillankatu,,2,4
Latosaarenpolku,,2,
Latosaarentie,,2,10
Lehikonkatu,,1,6
Lehmuksenkuja,,17,33
Lehmuksenpolku,,16,
Lehmuksentie,,56,313
Leilikatu,,1,6
Lieskakatu,,1,4
Loimukatu,,1,12
Luumukatu,,1,4
Marinkatu,,1,8
Metsäveräjänkatu,,1,21
Moisalankatu,,1,6
Mustankorventie,,40,290
Myrttikatu,,1,5
Myrttikuja,,1,4
Mäkitarhankatu,,1,6
Nestorinkatu,,1,6
Niittytarhankatu,,1,7
Näsiänkatu,,2,10
Omenakatu,,2,12
Onkikatu,,1,11
Onkipojankatu,,7,11
Opistonkatu,,6,
Orsikatu,,1,10
Papinkivenkatu,,2,14
Pellavapellontie,,2,
Peltokummunkatu,,1,
Peltolankatu,,1,19
Petterinkatu,,1,6
Pientarhankatu,,2,14
Purorinteenkatu,,4,24
Päivänsäteenkatu,,2,
Radanvarsikatu,,28,30
Rantakivenkatu,,1,34
Rautiokatu,,2,9
Ristimäenkatu,,3,18
Ruskokatu,,1,6
Ruutlammenkatu,,58,
Salavakatu,,2,20
Salavakuja,,1,4
Santerinkatu,,5,9
Sarpiokatu,,1,6
Seljakuja,,1,4
Sepänniemenkatu,,2,
Sepänniemenkuja,,34,54
Sepänojankatu,,1,32
Siimakatu,,1,10
Sillanpohjantie,,71,
Simonpellonkatu,,3,30
Sininiityntie,,42,
Sinttikatu,,1,5
Sipurantie,,6,70
Solakuja,,2,4
Suomukkakuja,,1,4
Sysikatu,,2,4
Talviokatu,,5,9
Talviokuja,,1,4
Tiirankuja,,1,17
Tiiranmäentie,,1,48
Tiiranpolku,,2,
Tuiviokatu,,1,12
Tyrninkatu,,1,6
Tärppikatu,,1,9
Vakkakatu,,4,26
Vanha Ahtialantie,,127,145
Vapakatu,,1,7
Varjokatu,,1,6
Vatukkakatu,,1,8
Venäjäkiventie,,2,72
Veräjänkatu,,1,12
Vihmakatu,,1,16
Vilanderinkatu,,1,
Vilanderinkuja,,1,4
Viljarinteenkatu,,1,3
Viljarinteentie,,2,
Vitakatu,,1,5
Vähälänkatu,,1,7
Välikatu,,1,6
Välipolku,,,
