street_fi,street_sv,lono,hino
Byträskintie,Byträskvägen,54,170
Djupsund,,,
Djupsundintie,Djupsundsvägen,1,7
Grannarsintie,Grannarsvägen,14,67
Hopeamaantie,Silverlandsvägen,,
Kalkkirannantie,Kalkstrandsvägen,333,585
Kapteeninniementie,Kaptensuddsvägen,5,30
Kariluodontie,Kariluotovägen,17,52
Kassivikintie,Kassiviksvägen,13,176
Köpbackantie,Köpbackavägen,2,29
Linnäsintie,Linnäsvägen,1,45
Lisebergintie,Lisebergsvägen,11,59
Nikolsbergantie,Nikolsbergavägen,15,82
Nuottakodantie,Nothusvägen,5,334
Portö,,,
Pärludden,,,
Ranta-Aitantie,Strandbodsvägen,6,54
Ronaksentie,Ronasvägen,2,57
Salparintie,Salparvägen,3,58
Sivermaantie,Siverlandsvägen,1,201
Siverniementie,Siveruddsvägen,5,53
Skyttenskär,,,
Strandbodsudden,,,
