street_fi,street_sv,lono,hino
Bockhamnintie,Bockhamnsvägen,3,25
Bockholmen,,,
Djupsundetin Majholmen,Djupsundets Majholmen,,
Djupvikintie,Djupviksvägen,7,73
Ekholmen,,34,52
Grythålsholmen,,,
Gräsörarna,,,
Insjöntie,Insjövägen,35,65
Itäkaari,Östersvängen,1,45
Itälahdenkuja,Österviksgränden,10,37
Itälahdentie,Österviksvägen,27,112
Kitaksentie,Kitasvägen,11,96
Kitöntie,Kitövägen,41,543
Krokholmantie,Krokholmsvägen,,
Lilla Furuholmen,,,
Linduddintie,Linduddsvägen,33,157
Luoteistie,Nordvästvägen,5,67
Länsikaari,Västersvängen,5,61
Löparön Björkholmen,Löparö Björkholmen,,
Löparön Furuholmen,Löparö Furuholmen,,
Löparön Lilla Björkholmen,Löparö Lilla Björkholmen,,
Löparön Svartholmen,Löparö Svartholmen,,
Löparöntie,Löparövägen,140,420
Malminiemi,Malmudden,6,79
Mjölkvikintie,Mjölkviksvägen,14,52
Paratiisintie,Paradisvägen,2,92
Pyllan,,,
Ryssnäsintie,Ryssnäsvägen,43,83
Sandkilenintie,Sandkilsvägen,16,150
Sandvikintie,Sandviksvägen,12,116
Skata Ledholmen,,,
Skeppsholmen,,,
Snettvikintie,Snettviksvägen,34,60
Spjutsundin Tallholmen,Spjutsunds Tallholmen,,
Spjutsundintie,Spjutsundsvägen,638,964
Spökanholmen,,,
Stadsuddintie,Stadsuddsvägen,13,40
Storuddintie,Storuddsvägen,1,503
Tallholmsören,,,
Vassvikintie,Vassviksvägen,23,536
Ådholmen,,,
Ösundintie,Ösundsvägen,27,86
