street_fi,street_sv,lono,hino
Ilmojärventie,,422,534
Isojärventie,,13,200
Itikkaperäntie,,569,721
Juusolankuja,,2,103
Järkiniementie,,14,630
Järventauksentie,,16,67
Kakolantie,,,
Kannastie,,3,130
Kattilaniementie,,17,70
Keiteleentie,,856,1426
Kellonniementie,,78,116
Kirjakanniementie,,50,88
Kivikkolantie,,67,140
Koskilahdentie,,31,81
Kuhalantie,,74,261
Kylmälahdentie,,82,88
Paanalankuja,,24,510
Palorannantie,,32,164
Pasala,,,
Pasalantie,,100,1242
Petäjärannantie,,116,899
Piilolanmäki,,19,75
Puromäentie,,8,74
Puronsuuntie,,51,156
Salmenkuja,,3,53
Salmilahti,,101,133
Särkiniementie,,,
Tiiriläntie,,55,
Viitakankaantie,,750,
