street_fi,street_sv,lono,hino
Askolinintie,Askolinsvägen,16,63
Backiksentie,Backisvägen,19,21
Bergby Gårdin Tie,Bergby Gårds Väg,25,
Estaksenkuja,Estasgränd,1,6
Forsöntie,,3,
Fårnäsintie,Fårnäsvägen,3,9
Gislarbölentie,Gislarbölevägen,87,365
Haltikkaankuja,,1,4
Haltikkaantie,Haltikasvägen,1,11
Hannuksenkuja,Hannusgränd,21,27
Israelintie,Israelsvägen,2,17
Jorvaksenkuja,Jorvasgränd,1,4
Jorvaksentie,Jorvasvägen,1,
Joufsintie,Joufsvägen,42,106
Jättivuorenpolku,Jättebergsstigen,3,27
Jättivuorentie,Jättebergsvägen,2,33
Kaaritie,Bågvägen,1,37
Koskenkyläntie,Forsbyvägen,2,50
Kullbyntie,Kullbyvägen,1,12
Kumpulankuja,Kullasgränd,1,6
Kuninkaankaarre,Kungssvängen,1,18
Kuninkaankuja,Konungsgränd,1,6
Kuninkaanmäki,Konungsbacken,1,15
Leppäkumpu,Alkulla,1,18
Loviisantie,Lovisavägen,1328,1536
Långkärrintie,Långkärrsvägen,14,
Majborginmäki,Majborgsbacken,1,50
Mörkömäenkuja,Spökbackagränden,2,113
Mörkömäentie,Spökbackavägen,36,135
Niinkoskentie,Ninkoskvägen,2,70
Nygårdintie,Nygårdsvägen,31,62
Okatie,Törnevägen,5,13
Oliivikuja,Olivgränd,,
Paimenkuja,Herdegränd,4,
Palomalmi,Brännmalmen,2,59
Papinniitty,Prästängen,1,12
Porvoontie,Borgåvägen,107,264
Poste Restante,,,
Rakuunankuja,Dragongränd,1,
Ratsastajankuja,Ryttargränden,1,
Riikenjärventie,Riketräskvägen,4,229
Riikentie,Rikevägen,2,689
Rukoushuoneentie,Bönehusvägen,1,18
Rukukuja,Rukugränd,1,6
Salmoksentie,Salmosvägen,4,60
Sandbäckinpuisto,Sandbäcksalle,1,
Seetrikuja,Cedergränd,1,
Seetritie,Cedervägen,1,7
Staffaksenkuja,Staffasgränd,1,10
Staffaksentie,Staffasvägen,2,18
Storentie,Storesvägen,13,90
Suurpellontie,Storåkersvägen,1,29
Sähkökuja,Elgränden,1,4
Tetomintie,Tetomvägen,33,163
Vanha Kuninkaantie,Gamla Kungsvägen,1,11
Vanha Viipurintie,Gamla Viborgsvägen,1,56
Vekabyntie,Veckabyvägen,36,177
Viikaksentie,Vikasvägen,12,34
Vilikkaankuja,Vilikasgränd,1,12
