street_fi,street_sv,lono,hino
Ahvenistontie,,1,234
Apajalahdentie,,38,42
Hattukiventie,,250,274
Heikinmäentie,,150,
Itärannantie,,56,
Jallunpolku,,55,61
Jäkälämäentie,,23,25
Kaijantie,,35,70
Kannastie,,8,50
Karjosalmentie,,202,443
Kirvesniementie,,21,
Koivistontie,,12,
Kousantie,,394,1377
Kuusisaarentie,,34,106
Lapinlahdentie,,163,205
Laurinahontie,,112,206
Linnalantie,,44,
Mustikka-Ahontie,,56,176
Mustikkavuorentie,,100,104
Mäenkuja,,27,
Paadenmaa,,43,561
Pärnämäentie,,804,906
Suopellontie,,26,109
Uuskaijantie,,58,89
Valkjärventie,,148,367
