street_fi,street_sv,lono,hino
Aarnionkatu,,1,10
Ahokatu,,1,11
Alhaistenkatu,,1,8
Alhonkuja,,2,6
Berliinintie,,,
Etelärinne,,1,16
Hakakatu,,1,9
Hakamäenraitti,,1,
Hakamäentie,,9,190
Hakastaronkatu,,4,15
Hanhikkikatu,,5,
Hanhikkikuja,,5,
Harjunkatu,,1,7
Harventajankatu,,1,10
Harventajankuja,,1,5
Heinäkuja,,1,8
Helisnummenkatu,,1,5
Hermanninkatu,,1,5
Huippulankuja,,1,4
Hämeenkyläntie,,2,481
Ilmarisenkatu,,1,6
Isoniitynkatu,,,
Isoperheenkatu,,1,15
Juhantie,,2,8
Juurikaskatu,,,
Kaarronkuja,,1,3
Kaherinkatu,,2,
Karjalankatu,,1,47
Karjaskylänkatu,,197,260
Kaukvuorenkatu,,1,32
Kavilannummentie,,42,102
Keihäänkärjenkatu,,1,14
Kellokuja,,8,
Kesäkatu,,1,10
Kevätkatu,,1,13
Kiskontie,,342,570
Kiurunkatu,,1,37
Kivikehänkatu,,2,22
Kivistönrinne,,1,9
Korvensalmentie,,35,111
Koulukatu,,3,14
Kreivintie,,1,6
Kukkanurmenkatu,,11,
Kukonkalliontie,,19,59
Kuovinkuja,,3,5
Kärkänkatu,,1,60
Lammenkatu,,1,23
Lammentie,,14,109
Lasikuja,,1,4
Lasimestarinkatu,,1,21
Lasinpuhaltajankatu,,1,13
Lasitehtaankatu,,2,
Leinikkikuja,,5,
Liipolankatu,,4,12
Lontoontie,,,
Lummetie,,8,47
Lähteenojankatu,,2,13
Mahtinaisentie,,57,
Meiramikatu,,6,
Meiramikuja,,1,3
Merikulmantie,,1,1015
Meripihkankatu,,1,11
Metsärannankatu,,1,7
Metsärannankuja,,4,8
Moikoistentie,,25,61
Muorinkuja,,5,
Myllykyläntie,,,
Mäntylänkuja,,,
Natakatu,,1,6
Neilikkakuja,,4,8
Niemelänkuja,,2,6
Niittykatu,,1,15
Nokankatu,,9,
Noppilantie,,12,282
Nummikatu,,2,16
Närvelänkuja,,4,7
Närveläntie,,1,71
Ojainen,,30,300
Olkakirveenkatu,,1,26
Omenalaaksonkatu,,,
Onnelankatu,,1,28
Otonkatu,,1,20
Pajavaarinkatu,,1,71
Papinpellonkatu,,4,13
Pappistentie,,22,72
Paunankatu,,1,4
Peiponkatu,,1,19
Perniöntie,,185,671
Pettiläntie,,40,320
Pihaniitynkuja,,,
Pihlajatie,,,
Piisirpinkatu,,2,22
Pitkäniitynkatu,,2,24
Pitkäniitynkuja,,1,5
Purolankuja,,1,8
Pääskynkatu,,1,22
Rajamäentie,,1,206
Rankosintie,,11,119
Rantaniitynkuja,,14,
Reikäkirveenkatu,,1,12
Riihelänkatu,,6,28
Rintalankatu,,1,14
Saarenkatu,,1,18
Sairaalantie,,9,11
Savolantie,,2,14
Seitonkatu,,1,34
Sieponkatu,,1,14
Sillanpäänkatu,,1,36
Sillanpäänpolku,,2,8
Sipinkuja,,1,8
Sirkkulankatu,,3,8
Sola,,40,90
Supintie,,11,216
Suvenkatu,,2,6
Syyskatu,,1,5
Talvikatu,,1,
Tapiontie,,10,62
Tarhurinkuja,,1,5
Tervakkokuja,,6,
Tikankuja,,3,6
Tilhentie,,2,
Tottolantie,,28,243
Tuulensuunkatu,,1,48
Ullintie,,1,3
Umpikuja,,1,8
Utiskantie,,3,37
Vanha Rata,,1,3
Vankaanlahdentie,,44,153
Veräjänkorvankatu,,1,18
Villiläntie,,25,335
Virnakuja,,3,
Vuorenharjunkatu,,4,15
Vuorenkatu,,1,5
Ylhäistentie,,1,361
Ylistuvankatu,,1,18
