street_fi,street_sv,lono,hino
Andersintie,Andersvägen,1,26
Barksjönkaari,Barksjösvängen,25,106
Barksjöntie,Barksjövägen,49,156
Berggårdintie,Berggårdsvägen,10,30
Bollstantie,Bollstadvägen,3,15
Borgbyntie,Borgbyvägen,2,6
Diakoninkuja,Diakongränden,2,4
Fiskarsintie,Fiskarsvägen,31,31
Flacksjöntie,Flacksjövägen,70,
Fredrikintie,Fredriksvägen,4,10
Hållsintie,Hållsvägen,1,14
Keijukuja,Fegränden,1,16
Kielometsäntie,Liljeskogsvägen,25,
Kvarnströmintie,Kvarnströmsvägen,9,29
Lammasjärvenkuja,Fårsjögränden,10,20
Lammasjärventie,Fårsjövägen,38,85
Lövdalintie,Lövdalsvägen,6,193
Menninkäistie,Vättvägen,3,13
Metallitie,Metallvägen,2,
Mäntytie,Tallensvägen,1,17
Neitsytmäentie,Jungfrubacksvägen,4,13
Nimismiehenkuja,Länsmansgränd,1,8
Omakotitie,Småhusvägen,1,22
Pohjoiskaari,Norrsvängen,3,10
Puimalantie,Troskhusvägen,1,4
Toivontie,Toivos Väg,2,170
Tonttukallionpolku,Tomtebergsstigen,1,6
Tornitie,Tornvägen,,
Trädbollstadintie,Trädbollstadvägen,21,74
Tuomarinkuja,Domargränd,3,6
Vanha Fiskarsintie,Gamla Fiskarsvägen,15,78
Vinkkeli,Vinkeln,3,
Von Julinin Tie,Von Julins Väg,169,400
Voudinkuja,Fogdegränden,1,6
