street_fi,street_sv,lono,hino
Ahdinkuja,Ahtigränden,,
Atlantinkatu,Atlantgatan,5,20
Azorienkuja,Azorergränden,1,
Bahamankatu,Bahamasgatan,1,6
Bahamankuja,Bahamasgränden,2,4
Bermudankatu,Bermudagatan,1,5
Bermudankolmio,Bermudatriangeln,1,4
Bermudankuja,Bermudagränden,1,3
Bunkkerinkuja,Bunkergränden,1,
Haitinkuja,Haitigränden,3,
Hampurinkuja,Hamburgsgränden,1,4
Hietasaarenkuja,Sandholmsgränden,1,19
Hyväntoivonkatu,Godahoppsgatan,4,8
Hyväntoivonkuja,Godahoppsgränden,2,
Itäinen Vaihdekuja,Östra Växelgränden,8,
Jamaikankatu,Jamaicagatan,1,
Juutinraumankatu,Öresundsgatan,1,10
Jätkäsaarenkuja,Busholmsgränden,1,16
Jätkäsaarenlaituri,Busholmskajen,2,51
Kalliosaarenkuja,Bergögränden,1,
Kanariankatu,Kanariegatan,3,7
Kanariankuja,Kanariegränden,1,41
Kap Hornin Katu,Kap Hornsgatan,1,8
Karibiankatu,Karibiengatan,2,
Karibiankuja,Karibiengränden,2,4
Karibianranta,Karibienstranden,8,10
Kuubankatu,Kubagatan,3,20
Livornonkatu,Livornogatan,1,12
Länsisatamankatu,Västrahamnsgatan,22,41
Länsisatamankuja,Västrahamnsgränden,1,12
Madeiranaukio,Madeiraplatsen,2,
Malagankatu,Malagagatan,1,8
Melkinlaituri,Melkökajen,6,
Neptunuksenkuja,Neptunusgränden,,
Poseidoninkuja,Poseidongränden,2,
Rionkatu,Riogatan,1,14
Saukonkatu,Uttergatan,2,4
Saukonlaituri,Utterkajen,1,
Suezinkatu,Suezgatan,1,8
Tullaajankuja,Förtullargränden,,
Tyynenmerenkatu,Stillahavsgatan,1,14
Välimerenkatu,Medelhavsgatan,2,24
