street_fi,street_sv,lono,hino
Alakyläntie,,5,29
Alaturuntie,,15,43
Ehättäväntie,,23,93
Heikkeri,,,
Heikkerintie,,3,52
Huttulantie,,656,854
Jyrkänpääntie,,6,192
Kangasmäentie,,3,22
Karhunpolku,,1,15
Karkausniementie,,20,
Kokkomäentie,,23,60
Kuitontie,,167,193
Lalvatintie,,28,
Metsolantie,,19,171
Metsäpirtintie,,30,
Mielakantie,,23,61
Mikkelintie,,865,1669
Mustalammentie,,78,
Mutalahdentie,,8,
Parkkolantie,,331,426
Pien-Haikkaanlahdentie,,49,
Rassuuntie,,1,19
Ratikontie,,24,65
Rutahontie,,550,550
Salmenkylä,,,
Salmentie,,2,387
Supantie,,15,41
Suvipolku,,20,32
Tevaniementie,,11,338
Toikantie,,10,70
Topulintie,,26,50
Turunkyläntie,,15,91
Tykkitie,,275,295
Tynnyrkyläntie,,43,57
Ulapantie,,15,127
Vesikiventie,,28,144
Vuorelantie,,7,142
