street_fi,street_sv,lono,hino
Asematie,,47,215
Hakolantie,,21,189
Hassilantie,,64,184
Helperintie,,19,54
Hämeenniementie,,30,153
Kaislaniementie,,51,125
Keitelepohja,,1,
Ketola,,,
Kokkolantie,,172,1124
Korpisentie,,64,381
Korppisentie,,64,
Kulokankaantie,,255,255
Lahnalahdentie,,61,61
Lapinniementie,,34,299
Luotosentie,,,
Lähteeläntie,,24,92
Löytänäntie,,6,637
Matintie,,85,152
Niinimäentie,,39,489
Nurkkalantie,,21,60
Puoliväli,,,
Puolivälintie,,57,225
Rantala,,,
Ruuhilammentie,,,
Salmelantie,,71,154
Satamarannantie,,35,
Satamaranta,,22,80
Saukkosentie,,,
Suviranta,,,
Särkeläntie,,145,255
Talatsaari,,,
Tamppilantie,,31,
Tervaniementie,,56,56
Turvaalantie,,7,210
Ulppaantie,,468,
Valkamantie,,16,156
