street_fi,street_sv,lono,hino
Ahmantie,,1,4
Aivinatie,,1,11
Antintie,,69,
Haaparinne,,1,33
Hampputie,,1,5
Hannuksentie,,25,105
Hannusraitti,,15,27
Harakkaniementie,,9,47
Hirvaanmäentie,,9,694
Hokkasentie,,85,210
Honkakuja,,1,
Ilvesraitti,,8,16
Jenkkatie,,1,4
Järvelänkatu,,1,
Järvenpääntie,,13,1210
Kaiskarintie,,16,57
Kapustantie,,117,771
Kassalahdentie,,137,
Katajakuja,,1,5
Katajapolku,,2,31
Kelhostenkatu,,6,
Kelhostenkuja,,2,9
Kelotie,,1,6
Keskuskatu,,1,34
Kesärannantie,,47,73
Kevätlahdentie,,10,422
Kilpakatu,,3,
Korpelantie,,141,183
Kortelahdentie,,33,41
Koukkuniemenkatu,,6,26
Koukkuniementie,,8,57
Kumpumäentie,,50,672
Kumpurinne,,1,19
Kuusikuja,,2,4
Kuusirinne,,3,
Kylmäkorventie,,7,43
Kylmälahdentie,,48,78
Kyminkatu,,1,8
Kypärälahdentie,,23,54
Laajaniementie,,20,66
Laajaranta,,,
Lallintie,,2,19
Lantelantie,,3,415
Leppäkuja,,1,
Lihtaajantie,,1,12
Liimattalantie,,27,529
Likolahdenkatu,,1,74
Likolahti,,,
Lohiluodontie,,162,
Lomaniemelä,,,
Louhulantie,,143,209
Lähteenkatu,,1,13
Mailakatu,,2,25
Majasaarentie,,23,317
Metsäpirtintie,,15,98
Myllysaarentie,,27,56
Mämmenkoskentie,,2,12
Mämmenkouluntie,,7,63
Mämmenkylä,,,
Mämmenniementie,,20,46
Mämmentie,,11,434
Mäntykangas,,,
Naarakoskentie,,574,881
Niemeläntie,,2,166
Näppäläntie,,3,43
Otsontie,,1,4
Ouluntie,,251,1160
Pahalammentie,,15,168
Pajutie,,1,12
Palavaniementie,,14,
Palorannantie,,28,68
Pellavatie,,1,14
Pensasrinne,,1,4
Peräläntie,,9,64
Petojärventie,,1,15
Petomäentie,,42,136
Petäjätie,,1,17
Pienet Karhusaaret,,2,
Pihlajarinne,,1,4
Pirttiahontie,,105,239
Pitkäkatu,,20,46
Polkkatie,,1,8
Porrassalmentie,,1,278
Porttilammentie,,233,
Pudasjärventie,,190,230
Puhelinkatu,,1,9
Puistokatu,,1,12
Päivärinne,,1,6
Pöllitie,,1,13
Rahkosenkatu,,1,10
Raitakatu,,2,12
Rauhalantie,,111,160
Rautatienkatu,,25,61
Relekatu,,1,10
Rohdintie,,1,15
Ruunajoentie,,2,31
Römminkatu,,10,20
Salmentie,,16,45
Tangotie,,1,22
Tanssilavantie,,5,5
Tapionkatu,,2,34
Tappuratie,,1,13
Televankatu,,1,3
Teollisuuskatu,,1,57
Tukkikuja,,1,8
Tukkitie,,2,33
Ukonsalmentie,,25,105
Valssitie,,1,9
Vasavuorentie,,182,271
Verkkotie,,3,9
Vesakkokuja,,1,6
Vesakkotie,,2,16
Viestikatu,,1,7
Viitaniementie,,50,384
Vähäläntie,,10,69
Yrittäjänkatu,,2,7
Äänekoskentie,,1,178
