street_fi,street_sv,lono,hino
Aitamaa,Gärdet,1,19
Antaksenkuja,Antasgränden,1,6
Antaksentie,Antasvägen,1,7
Brinkinmalmi,Brinkesmalmen,1,14
Brinkinmäentie,Brinkesvägen,1,5
Eteläviitankuja,Sydpricksgränden,1,6
Eteläviitta,Sydpricken,1,15
Hakkapeliitantie,Hakkapelitvägen,1,19
Haltialehto,Skogsfolkslunden,1,999
Heimolanpolku,Heimolastigen,2,
Heimolanrinne,Heimolabrinken,1,7
Heimolantie,Heimolavägen,1,24
Hirsikerrantie,Bjälklagsvägen,4,10
Itäviitta,Ostpricken,1,8
Karjasilta,Fäbron,2,6
Kaskihaka,Svedjehagen,,
Katajalaakso,Endalen,1,16
Katajalaaksonkuja,Endalsgränden,,
Katajalaaksontie,Endalsvägen,,
Kattilalaaksonkatu,Kitteldalsgatan,1,71
Kattilalaaksontanhua,Kitteldalstået,,
Kattilalaaksontie,Kitteldalsvägen,1,
Kattilarinne,Kittelbranten,2,27
Kattilatanhua,Kitteltået,2,7
Kattilavuorenkuja,Kittelbergsgränden,1,20
Kattilavuorentie,Kittelbergsvägen,1,28
Kedonkukantie,Ängsblomsvägen,1,10
Kedonkukka,Ängsblomman,1,11
Keskitie,Mittvägen,1,28
Kirkkoharju,Kyrkåsen,1,20
Kirkkotaival,Kyrkstråten,11,15
Kiveliönkuja,Ödemarksgränden,,
Kiveliönpiha,Ödemarksgården,1,3
Kiveliönrinne,Ödemarksbrinken,1,11
Kiveliöntie,Ödemarksvägen,1,16
Kiviharju,Stenåsen,3,
Kiviharjuntie,Stenåsvägen,1,7
Kompassikatu,Kompassgatan,1,11
Korkoonkuja,Korkogränden,,
Kotiportinkuja,Hemportsgränden,1,9
Kotiportintie,Hemportsvägen,1,18
Kummelikaari,Kummelbågen,6,23
Kummelikulma,Kummelhörnet,1,4
Kummelipolku,Kummelstigen,1,6
Kummelipuisto,Kummelparken,2,4
Kummeliranta,Kummelstranden,1,22
Kummelivuorentie,Kummelbergsvägen,3,15
Kurkihirrenpolku,Kroppåsstigen,,
Kurkihirrentie,Kroppåsvägen,1,19
Laidunkuja,Betesgränden,2,11
Laidunmäki,Betesbacken,1,19
Laidunrinne,Betesbranten,1,12
Lehtokukka,Lundblomman,1,8
Leppälaakso,Aldalen,2,16
Linjaloistonkatu,Ledfyrsgatan,3,9
Länsiviitta,Västpricken,1,7
Magneettikatu,Magnetgatan,1,14
Marjatie,Bärvägen,5,
Meriviitantie,Prickvägen,1,16
Metsäkukantie,Skogblomsvägen,1,21
Mutkamäki,Krökbacken,1,8
Mutkatie,Kröken,1,6
Muuritie,Murvägen,1,11
Myötätuulenkuja,Medvindsgränden,2,5
Myötätuulenmäki,Medvindsbacken,1,16
Nöykkiönkatu,Nöykisgatan,16,38
Nöykkiönlaaksonkuja,Nöykisdalsgränden,2,4
Nöykkiönlaaksontie,Nöykisdalsvägen,3,42
Nöykkiönniitty,Nöykisängen,3,
Nöykkiöntie,Nöykisvägen,9,
Ottopojankuja,Fostersonsgränden,1,
Oxfotinaukio,Oxfotsplatsen,1,
Oxfotinkuja,Oxfotgränden,2,14
Oxfotintie,Oxfotvägen,1,8
Paapuuri,Babordssidan,3,6
Paasikuja,Hällgränden,1,10
Paasitie,Hällvägen,3,7
Paimenenportti,Vallarporten,1,21
Passipolku,Passgången,1,12
Peltokukka,Åkerblomman,1,6
Pirkontie,Pirkkovägen,1,8
Pirttiharju,Pörtåsen,1,4
Pirttikorpi,Pörtskogen,1,12
Pirttikuja,Pörtgränden,3,8
Pirttipolku,Pörtstigen,1,6
Pirttitie,Pörtvägen,1,22
Pohjoisviitta,Nordpricken,1,3
Porraskuja,Trappgränden,1,8
Porrastie,Trappvägen,2,17
Porstuantie,Farstuvägen,1,6
Pujoparranpolku,Pipskägsstigen,1,5
Raasilanmäki,Rasbölebacken,7,27
Rakentajainkuja,Byggargränden,2,20
Rakentajainmäki,Byggarbacken,1,11
Rakentajainpolku,Byggarstigen,1,4
Rakentajainrinne,Byggarbranten,1,14
Rakentajaintie,Byggarvägen,1,28
Reelinkikatu,Relingsgatan,2,4
Reelinkikuja,Relingsgränden,3,
Ruukinkuja,Bruksgränden,1,6
Ruukinmestarintie,Brukmästarevägen,2,13
Ruukinsilta,Bruksbron,1,5
Ruukintie,Bruksvägen,1,20
Salakuljettajantie,Smugglarvägen,,
Salvoskuja,Timringsgränden,2,
Saunalahdenkatu,Bastviksgatan,1,18
Saunarannankuja,Bastustrandsgränden,1,6
Saunaranta,Bastustranden,1,14
Saunarinne,Bastubranten,1,7
Savitiilenkuja,Lertegelsgränden,2,7
Savitiilentie,Lertegelsvägen,2,14
Siirtomaidenkuja,Kolonialgränden,1,12
Siltavahdintie,Brovaktsvägen,2,8
Suokulma,Kärrhörnet,,
Suotie,Kärrvägen,1,24
Tammilaaksontie,Ekdalsvägen,1,14
Tammipirtinkuja,Ekpörtsgränden,1,20
Tammipirtintie,Ekpörtsvägen,3,8
Tammipirtti,Ekpörtet,1,12
Tapio Wirkkalan Polku,Tapio Wirkkalas Stig,2,
Tervalaakso,Tjärdalen,1,7
Tervanpolttajankuja,Tjärbrännargränden,1,9
Tervanpolttajantie,Tjärbrännarvägen,1,14
Tervaportti,Tjärporten,1,5
Tiilenvalajantie,Tegelmakarvägen,3,
Tiilikulma,Tegelhörnet,1,7
Tiiliskivenkuja,Tegelstensgränden,2,13
Tiiliskiventie,Tegelstensvägen,1,25
Tiilismäki,Tegelstenbacken,1,9
Tiimalasintie,Timglasvägen,1,6
Tilkekuja,Drevgränden,1,4
Tillinkuja,Tillisgränden,2,8
Tillinmaa,Tillismarken,1,6
Tillinmaanpolku,Tillismarksstigen,1,8
Tillinmaanpuisto,Tillismarksparken,1,16
Tillinmäentie,Tillisbacksvägen,1,35
Tillinpiha,Tillisgården,1,6
Tillinrinne,Tillisbranten,1,20
Tillintie,Tillisvägen,2,24
Tillintulli,Tillistullen,,
Tyskaksentie,Tyskasvägen,3,21
Tyyrpuuri,Styrbordssidan,2,6
Uunimestarintie,Ugnmästarvägen,1,30
Uunipolku,Ugnstigen,1,7
Vanha Saunalahdentie,Gamla Bastviksvägen,1,20
Vasikkakuja,Kalvgränden,3,9
Vehaksenkuja,Vehasgränden,1,6
Vehaksenpolku,Vehasstigen,1,11
Vehaksenportti,Vehasporten,1,14
Vehaksentie,Vehasvägen,1,9
Veistokuja,Täljgränden,2,7
Veistotie,Täljvägen,2,14
Vesipirtintie,Vattupörtsvägen,1,19
Vuorenjuuri,Bergsfoten,2,8
