street_fi,street_sv,lono,hino
Ailakkitie,Bläravägen,3,9
Asterinkuja,Astergränden,1,4
Asterintie,Astervägen,1,24
Haarikkokuja,Narvgränden,5,
Haarikkotie,Narvvägen,1,4
Heinikkokuja,Gröngräsgränden,1,10
Heinätie,Hövägen,5,24
Hiekkaharjuntie,Sandkullavägen,5,
Hiekkatie,Sandvägen,1,28
Hiiripolku,Mösstigen,1,3
Jäkkärätie,Skogsnoppsvägen,1,5
Kaivopolku,Brunnstigen,4,
Kallioimarteenkuja,Stensötsgränden,2,
Kallioimarteenrinne,Stensötsbrinken,1,
Kallioimarteentie,Stensötsvägen,3,15
Keltavuokontie,Gulsippsvägen,3,30
Kielotie,Konvaljvägen,37,81
Kihokkitie,Daggörtsvägen,4,15
Kissankäpäläntie,Kattfotsvägen,1,19
Koivukyläntie,Björkbyvägen,22,53
Kullerontie,Smörbollsvägen,1,36
Kurpitsakuja,Kurbitsgränden,1,6
Kyläkaivontie,Bybrunnsvägen,1,11
Kärsämökuja,Rölleksgränden,2,6
Leinikkitie,Ranunkelvägen,3,44
Lemmikkikuja,Förgätmigejgränden,1,10
Lemmikkirinne,Förgetmigejbrinken,1,12
Lemmikkitie,Förgätmigejvägen,1,22
Lillukkakuja,Stenhallonsgränden,1,10
Loikkokuja,Stenbräckengränden,1,4
Malmimäenpolku,Malmbackastigen,8,
Malminiitynpolku,Malmängsstigen,3,
Malminiityntie,Malmängsvägen,3,28
Malmitie,Malmvägen,2,4
Mataratie,Madravägen,2,11
Metsätähdenkuja,Skogsstjärnegränden,1,8
Metsätähdenrinne,Skogsstjärnebrinken,1,7
Metsätähdentie,Skogsstjärnevägen,1,46
Mäkivuokontie,Backsippsvägen,3,15
Nokkoskuja,Nässelgränden,2,11
Nokkostie,Nässlevägen,2,18
Nuppukuja,Knoppgränden,1,5
Oikotie,Genvägen,1,6
Oratie,Törnvägen,3,7
Peippikuja,Plistgränden,1,10
Pietaryrtintie,Renfanevägen,1,13
Poste Restante,,,
Punalatvantie,Hampflockelvägen,2,34
Purjotie,Purjovägen,2,6
Raatekuja,Vattenklövergränden,3,20
Raatetie,Vattenklövervägen,1,25
Rentukkatie,Kalvleksvägen,1,14
Resedakuja,Resedagränden,1,6
Sananjalantie,Örnbräksvägen,1,6
Sauramontie,Kullavägen,1,22
Siimeskuja,Skymningsgränden,2,7
Silmukuja,Bladknoppsgränden,1,5
Simonkalliontie,Simonsbergsvägen,1,13
Simonpolku,Simonsstigen,1,16
Simontie,Simonsvägen,4,6
Sinilatvankuja,Blågullsgränden,4,
Sinilatvanpolku,Blågullsstigen,,
Sinilatvantie,Blågullsvägen,3,24
Sinivuokontie,Blåsippsvägen,1,14
Sipulikuja,Lökgränden,1,5
Sipulitie,Lökvägen,1,24
Sorakuja,Grusgränden,4,
Talkooraitti,Talkoleden,2,
Talkootie,Talkovägen,1,41
Talvikkitie,Pyrolavägen,72,99
Tarhurintie,Trädgårdsmästarvägen,1,31
Terhirinne,Paddfotsbrinken,1,7
Terhitie,Paddfotsvägen,1,20
Tervakkokuja,Tjärblomstergränden,1,20
Tervakkopolku,Tjärblomsterstigen,1,10
Tervakkotie,Tjärblomstervägen,1,37
Tornimäki,Tornbacken,2,
Tähtimöntie,Stjärnblomsvägen,1,25
Uusiniitynkuja,Nyängsgränden,2,
Uusiniityntie,Nyängsvägen,1,7
Uusiraja,Nyrån,5,13
Valkovuokontie,Vitsippsvägen,1,21
Vanamonkuja,Linneagränden,1,
Vanamontie,Linneavägen,1,13
Vanha Soratie,Gamla Grusvägen,3,81
