street_fi,street_sv,lono,hino
Aapolantie,,4,43
Ahvenlammentie,,,
Haapakoskentie,,13,
Jankkilantie,,5,59
Kauhakummuntie,,13,17
Kemijärventie,,1224,
Koivulankuja,,,
Korpelantie,,2,
Kortelaisentie,,4,
Kunnarintie,,3,19
Kuukiuruntie,,13,
Lampiaavantie,,2,29
Lampitie,,,
Opintie,,2,17
Paavolantie,,10,44
Pekkalantie,,35,
Peräharjuntie,,,
Pietarinkuja,,20,
Pyhänpetäjikkö,,,
Pyhäpirtintie,,,
Pyhätunturintie,,21,496
Sahantie,,1,42
Saukkoaavantie,,1,529
Sieniojantie,,10,830
Sodankyläntie,,2656,3642
Tarkantie,,28,32
Temppeliharjuntie,,,
Tervaharjuntie,,,
Turvasenkummuntie,,,
Vuostimojärventie,,,
Vuostimosaari,,,
Vuostimosalmentie,,,
Ylivaarantie,,5,9
