street_fi,street_sv,lono,hino
Ahonpääntie,,2,41
Emännänmäki,,1,
Huuhantie,,24,182
Isokoskentie,,6,513
Jokelantie,,53,
Jokikyläntie,,21,491
Karjulanmäentie,,25,71
Katajapolku,,3,34
Kerttujärventie,,29,
Kiiskilänkylätie,,10,76
Kivenhaantie,,20,30
Kivinevantie,,54,103
Lähdeojantie,,3,25
Martinkankaantie,,10,32
Metsolantie,,8,
Myllyläntie,,24,45
Myllyojantie,,12,186
Passojantie,,4,59
Pesänevantie,,49,
Puskalantie,,7,67
Pyysalontie,,19,21
Reisjärventie,,364,1761
Sikosentie,,19,524
Säilynmäentie,,14,603
Takalonperäntie,,1,56
Torvenperäntie,,1,249
Vanhalantie,,4,94
Välitalontie,,2,39
