street_fi,street_sv,lono,hino
Alingontie,,23,34
Antilankuja,,1,7
Auneentie,,1,29
Erämiehenkuja,,1,10
Flatinankuja,,8,14
Haapalantie,,2,6
Hahdonkuja,,1,8
Hahdontie,,2,7
Hakalankuja,,1,10
Hakaluhdantie,,1,4
Hernesluhdantie,,26,
Hietakuja,,2,
Hietikko-Laurilantie,,25,159
Hirvelänkuja,,3,
Holmankuja,,1,3
Huvilatie,,1,11
Isoluhdantie,,36,
Jaakontie,,4,6
Jurvantie,,1,1492
Järvistöntie,,80,82
Kadunvarrentie,,2,8
Kalastajantie,,6,15
Kangastie,,2,35
Kartanomäentie,,2,59
Kasintie,,35,56
Kauhajoentie,,2,688
Kauppatie,,1,27
Kirkkokuja,,1,6
Kirvesmiehentie,,3,25
Kivikankaantie,,1,
Kivilammentie,,393,
Klumpuntie,,10,102
Koivistonkuja,,4,134
Koivuportaantie,,85,354
Koivusillantie,,1,204
Korvenkuja,,67,
Koskenkorvantie,,2,327
Koskimäenraitti,,1,
Kotikouluntie,,1,4
Koululenkki,,2,
Koulutie,,1,8
Kumpulantie,,1,7
Kuusilehdontie,,2,
Kylväjäntie,,1,3
Kyntäjäntie,,1,11
Kytötie,,1,14
Laihiantie,,15,597
Larvatie,,2,112
Lauroonkorventie,,10,95
Lehtolantie,,198,221
Liiketie,,1,17
Luhtatie,,1,10
Luodontie,,3,478
Luomakuja,,,
Maalarintie,,6,
Maamiehenraitti,,1,5
Manttaalikuja,,3,5
Markusharjuntie,,1,24
Maunonraitti,,11,21
Mestarinkuja,,1,3
Mestarintie,,1,9
Metsäkuja,,1,
Mäkeläntie,,1,8
Mäkikuja,,3,
Nahkimontie,,2,
Nellyntie,,1,3
Nikkarinkuja,,1,5
Nostajankuja,,1,6
Nuijakuja,,2,6
Oikohöylänkuja,,1,6
Palonevantie,,79,118
Palotie,,1,
Pappilankankaantie,,2,133
Pappilantie,,,
Peltoharjuntie,,1,608
Peränkuja,,82,162
Peuranluomantie,,1,5
Peurantie,,1,33
Pihlajapolku,,2,
Pihlapolku,,19,39
Pikkujurvantie,,1,9
Pikkupappilantie,,4,10
Pohjoistie,,1,17
Porontie,,39,
Poste Restante,,,
Purokuja,,1,12
Purolantie,,3,19
Puskalankuja,,2,
Puskalantie,,1,19
Puusepänkuja,,1,
Puusepänraitti,,1,27
Pysäkkikuja,,1,
Pyörnintie,,8,44
Rehulantie,,8,40
Riihivainiontie,,1,
Riipintie,,8,16
Ristimäentie,,1,11
Ruusanraitti,,1,5
Sahatie,,4,
Sairaalatie,,1,6
Salontie,,1,20
Sarvihöylänkuja,,1,6
Selkäpolku,,1,44
Selkäsahankuja,,4,
Seppälänkuja,,3,7
Sikanevantie,,1,119
Sotamiehentie,,2,4
Suppukuja,,22,52
Sähkötie,,5,39
Säläisnevantie,,59,
Tainiontie,,1,
Talonpojankaari,,1,11
Talttakuja,,3,
Tapionkuja,,1,4
Tapiontie,,1,12
Tasohöylänkuja,,1,6
Teollisuustie,,1,
Teuvantie,,1,127
Toimelantie,,7,9
Tonttikuja,,1,6
Turvakodintie,,1,21
Uusimäenkuja,,1,
Uusimäentie,,33,
Vainionpääntie,,17,104
Vallihaankuja,,1,8
Valontie,,1,26
Vanhantuvantie,,3,22
Vannesahantie,,3,7
Varpulantie,,3,
Veistokouluntie,,1,7
Veistäjäntie,,1,
Verhoilijantie,,1,14
Vesantie,,2,
Veteraanitie,,2,5
Viitaharjuntie,,1,32
Vilhunkuja,,23,
Vuorisentie,,2,4
Välikuja,,2,7
Välikyröntie,,1,
Yläkoskentie,,12,51
