street_fi,street_sv,lono,hino
Aarikkalankatu,,2,45
Ahmankatu,,19,33
Ajoksenkatu,,2,6
Ali-Huikkaantie,,1,9
Hakametsänkatu,,19,40
Harankatu,,1,27
Hervannan Valtaväylä,,59,61
Hippoksenkatu,,10,46
Hukankatu,,1,4
Jousikatu,,1,23
Kallioisenkatu,,1,11
Kalteenkatu,,1,35
Kalteenkuja,,4,
Karhunkatu,,32,75
Keihäskatu,,1,8
Keltinkatu,,1,10
Ketunkatu,,2,14
Kinnarinkatu,,1,16
Kissanmaankatu,,11,32
Kontionkatu,,1,17
Koukkutie,,2,12
Kovajankatu,,1,7
Kukkopillinkuja,,1,6
Kumputie,,1,3
Kunnastie,,1,11
Kyrölänkatu,,2,15
Kärpänkatu,,2,11
Lemmonkatu,,1,6
Lumikonkatu,,1,14
Maljakuja,,1,6
Miekkakatu,,11,26
Ojarinteenkatu,,1,11
Paakarinkatu,,1,6
Riihipellonkatu,,1,24
Ritakatu,,3,7
Ruukkukuja,,1,6
Sammon Valtatie,,2,12
Savikukonkatu,,1,35
Sopulinkatu,,1,22
Sudenkatu,,2,46
Takahuhdintie,,1,62
Tiilikatu,,1,41
Töyrytie,,1,24
Uudenkylänkatu,,2,42
Uudenkylänkuja,,1,3
Vasamakatu,,1,8
Vipusenkatu,,2,14
Yli-Huikkaantie,,1,39
