street_fi,street_sv,lono,hino
Aaponkatu,,3,21
Aholankatu,,9,25
Ahotie,,1,9
Ainontie,,1,5
Ajurinkatu,,1,4
Ansatie,,1,6
Asemankatu,,55,
Eeronkatu,,2,8
Esantie,,3,11
Haavantie,,1,
Hangontie,,2,8
Hannisentie,,1,20
Helenenkatu,,44,
Helletorpankatu,,1,23
Hevosmiehenkatu,,5,22
Hissikatu,,1,3
Hyvinkäänkatu,,25,50
Ilmarisentie,,1,15
Ilmattarentie,,1,16
Joukahaisentie,,2,6
Juhaninkatu,,1,29
Juhantie,,1,6
Jukolankatu,,2,28
Kalervontie,,1,6
Kalevankatu,,2,10
Kanneltie,,1,18
Karpinkatu,,3,34
Kaskimaankatu,,4,
Kaskipolku,,1,
Kekintie,,1,10
Kirjailijantie,,3,5
Kirjavantolpankatu,,2,8
Koivulankatu,,1,16
Koivuntie,,1,7
Koneenkatu,,1,19
Kruununkatu,,32,75
Kruununmaankatu,,,
Kruununpuistonkatu,,2,35
Kruununrajatie,,1,19
Kullervontie,,1,11
Kulmalantie,,2,16
Kuningasvuorenkatu,,1,26
Kuumolankatu,,1,19
Kytäjänkatu,,1,23
Lahdentie,,1,26
Latojantie,,1,10
Laurinkatu,,3,9
Lehmihaantie,,2,9
Lehtikuja,,3,8
Lehtosentie,,1,8
Lemminkäisentie,,2,22
Lepäntie,,1,5
Linnalankatu,,1,9
Loitsukuja,,2,5
Loitsutie,,2,18
Louhentie,,2,16
Lähteisentie,,1,10
Läntinen Yhdystie,,25,
Martinkatu,,18,52
Metsämiehenkatu,,1,34
Metsästäjänkatu,,35,48
Mielikinkatu,,2,22
Muottikatu,,2,20
Myllykatu,,1,5
Mäenkatu,,3,
Männikkötie,,1,6
Niemisentie,,1,18
Nikinsyrjänkuja,,3,7
Nikinsyrjäntie,,1,21
Nikkiläntie,,10,
Nummenkärjenpolku,,2,10
Nummenkärjentie,,2,23
Nummenrannantie,,1,10
Nurmelankatu,,17,38
Nurmelanpolku,,2,14
Ojalankatu,,1,29
Olkkolankuja,,1,
Olkkolantie,,1,19
Pajuntie,,1,11
Patruunankatu,,1,11
Pellervontie,,1,23
Pikkulukontie,,1,3
Pikosuonkatu,,3,42
Puolimatkankatu,,4,48
Purotie,,1,8
Päivälänkatu,,1,24
Rannantie,,1,12
Ratsumiehenkatu,,1,16
Rauhamäenkatu,,1,4
Rauhankatu,,1,42
Riistapolku,,1,9
Runonlaulajantie,,1,19
Rusthollinkatu,,4,12
Rälssimaankatu,,1,20
Sairaalankatu,,6,10
Sallisenkatu,,1,26
Salmenkuja,,1,4
Salmentie,,2,23
Sammontie,,2,12
Seittemänmiehenkatu,,38,68
Simeoninkatu,,4,28
Talonpojankatu,,1,5
Tapionkatu,,3,33
Terrisuonkatu,,13,
Tiililammentie,,1,10
Tiilirinteenkuja,,1,5
Tiilitehtaantie,,1,25
Timonkatu,,1,33
Torpankatu,,4,28
Toukolankatu,,1,14
Tsasounakuja,,1,
Tuomaankatu,,1,58
Tuomisentie,,1,17
Tuulantie,,1,13
Tuulikinkatu,,4,14
Uudenmaankatu,,50,73
Vaahterantie,,1,19
Vallesmanninkatu,,1,15
Varikonkatu,,35,74
Vehkakuja,,1,
Vehkatie,,2,10
Vehkojankuja,,1,3
Vehkojantie,,1,52
Veljestenkatu,,70,82
Vellamontie,,2,10
Venlankatu,,1,6
Verkatehtaankatu,,1,8
Veromaankatu,,1,24
Voudinkatu,,3,14
Voudinkuja,,3,6
Voudinpolku,,,
Vuorisentie,,3,10
Väinämöisentie,,1,10
Yli-Anttilantie,,2,40
