street_fi,street_sv,lono,hino
Eno-Joensuuntie,,351,476
Halla-Ahontie,,2,207
Heintie,,4,20
Koivukuja,,2,
Koivulahdentie,,62,174
Koivumetsäntie,,2,12
Koivupolku,,2,
Kylätalontie,,1,18
Loiranpurontie,,8,59
Loirantie,,46,103
Louhitie,,5,
Mustavaarantie,,1,31
Niloksentie,,11,130
Notkotie,,1,7
Novikanrinteentie,,21,25
Opinpolku,,1,5
Otontie,,1,
Oulilantie,,20,140
Penkkitie,,1,6
Pentintie,,2,12
Pielistie,,1,12
Pihlajapolku,,4,24
Pörrintie,,3,91
Riutantie,,1,195
Tavisärkäntie,,3,121
Veikontie,,2,7
Voimalaitoksentie,,391,651
Yrjöntie,,3,
