street_fi,street_sv,lono,hino
Ahtelantie,Ahtelavägen,5,55
Alvallantie,Alvallavägen,16,40
Ankarholmen,,,
Asplandet,,,
Bergebo,,,
Bergkullantie,Bergkullavägen,1,59
Björkhagantie,Björkhagavägen,7,80
Björkholmen,,,
Bläsören,,,
Blåfieldinpolku,Blåfieldsstigen,5,17
Blåfieldintie,Blåfieldsvägen,2,65
Brändholmskobben,,,
Dalbonkuja,Dalbogränden,2,16
Eestiluodon Granlandet,Estlotans Granlandet,,
Eestiluoto,Estlotan,,
Etermaholmen,,,
Forsensholmarna,,,
Fästningen,,,
Fåfängholmen,,,
Girsholmen,,,
Granholmen,,,
Granö,,26,
Granön Käringholmen,Granö Käringholmen,,
Gretebo,,,
Grönholmen,,,
Gumbontie,Gumbovägen,5,139
Gumbostrandin Brändholmen,Gumbostrands Brändholmen,,
Haapaniementie,Aspnäsvägen,5,81
Haavistontie,Aspeskogsvägen,2,58
Halsören,,,
Hanskinen,Hanskholmen,,
Hedåsintie,Hedåsvägen,4,15
Härkämäentie,Oxbackavägen,2,34
Hönsholmen,,,
Immersbackantie,Immersbackavägen,18,124
Immersbyntie,Immersbyvägen,2,170
Inre Krokholmen,,,
Itäinen Torrhästklobben,Östra Torrhästklobben,,
Jyrkänne,Branten,3,8
Kajholmen,,,
Kajhället,,,
Kalvholmen,,,
Kalvratan,,,
Kamsholmenin Björkholmen,Kamsholmens Björkholmen,,
Kapulasuontie,Kavelkärrsvägen,11,35
Karaktören,,,
Kaskisholmen,,,
Katajakalliontie,Enbergsvägen,2,22
Katrineholmintie,Katrineholmsvägen,1,170
Kattholmen,,,
Katveenpolku,Skuggstigen,4,
Kaunissaaren Tallholmen,Fagerö Tallholmen,,
Kaunissaari,,,
Klovaholmen,,,
Knaperbackantie,Knaperbackavägen,4,83
Komsalö,,,
Komsalön Notholmen,Komsalö Notholmen,,
Koören,,,
Krokholmen,,,
Kråkö,,,
Kråkören,,,
Kuiva-Hevonen,Torra Hästen,,
Kärrkullantie,Kärrkullavägen,2,70
Laaksokummuntie,,6,21
Lilla Bergholmen,,,
Lilla Björkholmen,,,
Lilla Högholmen,,,
Lilla Korpholmen,,,
Lilla Munkholmen,,,
Lilla Opanholmen,,,
Lilla Svedjeholmen,,,
Lillholmen,,,
Lillkobben,,,
Lillörintie,Lillörsvägen,2,17
Linholmen,,,
Lusören,,,
Läntinen Torrhästklobben,Västra Torrhästklobben,,
Lågören,,,
Långören,,,
Löparön Fårholmen,,,
Majasaari,,,
Majvikintie,Majviksvägen,1,181
Mellanholmen,,,
Mellerstholmen,,,
Metsäkalliontie,Skogsbergsvägen,10,92
Mossängshällarna,,,
Musborstan,,,
Musta-Hevonen,Svarta Hästen,,
Måsvikinsaari,Måsviksholmen,,
Norrkullalandet,,,
Norrkullalandetin Kalvholmen,,,
Orrören,,,
Oxholmen,,,
Pontuksentie,Pontusvägen,22,32
Prästholmen,,,
Päivänpolku,Solstigen,1,3
Päivöläntie,Päivölävägen,4,
Risholmen,,,
Rågholmen,,,
Råkilankuja,,4,14
Röysö,,,
Röysön Brändholmen,Röysö Brändholmen,,
Röysön Sandholmen,Röysö Sandholmen,,
Röysön Tallholmen,Röysö Tallholmen,,
Simpholmen,,,
Simsalö,,,
Simsalökoulu,Simsalö Skola,,
Simsalön Notholmen,Simsalö Notholmen,,
Sipoonranta,Sibbostranden,5,14
Skjutanratet,,,
Skogsholmen,,,
Skrakholmen,,,
Sten-Korpholmen,,,
Stenholmen,,,
Stenören,,,
Stora Bergholmen,,,
Stora Korpholmen,,,
Stora Svedjeholmen,,,
Storkobben,,,
Storörintie,Storörsvägen,1,6
Stuvunäsintie,Stuvunäsvägen,11,162
Suokallionkuja,Mossbergsgränden,4,8
Suokalliontie,Mossbergsvägen,1,27
Svanören,,,
Särkilammentie,Mörtträskvägen,3,50
Söderkullalandet,,,
Söderkullalandetin Notholm,,,
Tallås,,,
Tassen,,,
Tirhället,,,
Tjurholmen,,,
Tobben,,,
Toivolantie,Önskebovägen,4,46
Torstenholm,,,
Tremarken,,,
Trutlandet,,,
Trutlandetin Fårholmen,Trutlandets Fårholmen,,
Tryören,,,
Träsklandet,,,
Träskören,,,
Tvillingsören,,,
Uusi Porvoontie,Nya Borgåvägen,424,966
Vaakkolantie,Vaakkolavägen,1,89
Veljesmäki,,,
Vesterbackantie,Vesterbackavägen,4,97
Vesterängintie,Vesterängsvägen,1,119
Ängesholmen,,,
Äppelön,,,
Örnvikinkuja,Örnviksgränd,2,9
Örnvikintie,Örnviksvägen,4,18
Östholmen,,,
Östholmenin Furuholmen,Östholmens Furuholmen,,
