street_fi,street_sv,lono,hino
Alajärventie,,41,
Alavanraitti,,13,65
Etuvääränpolku,,63,67
Heikkilänraitti,,63,145
Huaveenpiä,,38,
Hussonmäentie,,16,96
Huttulansaarentie,,3,276
Hölökkäläntie,,9,70
Itälahti,,77,95
Itäranta,,14,
Joensuuntie,,2127,2129
Jokelantie,,350,404
Jokiniementie,,103,
Juurusvedentie,,25,39
Kaarinkalliontie,,8,48
Kaarinlahdentie,,73,
Kaarinniementie,,19,170
Kaijanmäentie,,20,136
Kalamiehentie,,13,33
Kallioharjuntie,,32,79
Karhonniemen Sormusensaari,,1,
Karhonniementie,,93,220
Karhonveden Koivu-Lyntti,,38,112
Kemppiläntie,,51,118
Kerilammentie,,1,55
Kesäpäiväntie,,75,
Kettukalliontie,,1,129
Kiikantie,,6,10
Kirkkokalliontie,,80,
Kivijärventie,,18,214
Kivisalmentie,,9,347
Kohisevantie,,38,167
Koirakuja,,15,31
Koivukaarteentie,,28,39
Kontiokalliontie,,15,
Kotasaarentie,,22,265
Kotasaari,,,
Kotasalmentie,,10,62
Kotiniementie,,26,76
Kumpulantie,,15,95
Kuusiranta,,11,17
Kylmäpurontie,,85,225
Käärmekalliontie,,91,283
Lasiniementie,,15,67
Leppäniementie,,5,165
Levälahdenranta,,110,118
Lyntintie,,38,274
Melaveden Haapasaari,,52,524
Metsälammentie,,1,
Munakkalahdentie,,135,277
Mustaniemi,,10,106
Myrkkylahti,,7,43
Mäentie,,29,39
Mäkipolku,,25,
Neljänsavuntie,,39,49
Niittylahdentie,,267,800
Niittymäentie,,7,
Pelonniemen Lamposaari,,59,161
Pelonniemen Pyörtösaari,,16,
Pelonniementie,,53,1260
Pelonniemi,,95,1411
Peuraniementie,,67,
Pikkuniityntie,,,
Pitkäranta,,12,117
Puhakanpolku,,1,
Purhon Saunasaari,,1,
Purhontie,,55,248
Purolanraitti,,19,59
Puutiolampi,,18,58
Puutioniementie,,30,160
Rauhalanpolku,,63,
Risuniementie,,35,96
Ryönänlahti,,2,258
Ryönänpohja,,15,79
Ryönäntie,,4,112
Räsäläntie,,2,241
Salmijärvenpolku,,67,69
Savulahden Haapasaari,,1,
Savulahden Otrasaari,,34,
Savulahden Ukkosaari,,1,
Savulahdentie,,3,855
Sepänmäki,,11,
Sepänrannantie,,14,24
Suontaus,,16,99
Susiniementie,,10,271
Särkänsuo,,59,111
Takavääränpolku,,12,30
Tammela,,7,
Teerisaarentie,,127,276
Tilatie,,42,
Tuomiharju,,82,
Tölpänniementie,,1,204
Valpurintie,,125,
Vartialankuja,,17,45
Vartialantie,,15,51
Vehkalammentie,,3,1495
Vierunpää,,31,148
Vierunpääntie,,,
Vieruntie,,14,133
Viidankalliontie,,151,
Viitasalo,,1,
Väärämäentie,,50,
