street_fi,street_sv,lono,hino
Anttilankatu,,1,7
Epankatu,,1,10
Hakalantie,,11,26
Heikinpolventie,,1,12
Heikkiläntie,,1,6
Hevoshaankatu,,1,8
Hirvenpolku,,1,3
Horsmapolku,,1,8
Ikinuortenpolku,,1,3
Ilkantie,,8,24
Isokorventie,,2,6
Isovainionkuja,,1,8
Juhansuonkatu,,6,
Juurakkotie,,1,22
Kaakkurintie,,1,24
Kaarnakatu,,2,10
Kaisankatu,,1,20
Kaiskonkatu,,1,19
Kalkuntie,,1,26
Kalliorinteenkatu,,1,14
Kanervapolku,,4,6
Kankaantaankatu,,12,93
Kankaantaka,,,
Kantokatu,,3,
Karimäentie,,1,8
Katsastajankatu,,1,
Kivikolunkatu,,1,18
Koivuniemi,,,
Koivusalonkatu,,1,7
Kolmenkulmantie,,1,8
Kolmihaarankatu,,20,
Korpikuusentie,,1,3
Kotakatu,,50,93
Kotikallionkatu,,1,14
Kotimäenpolku,,1,9
Kotipolku,,2,4
Kulmalankatu,,1,17
Kunnansarka,,1,6
Kuusipolku,,1,43
Lastenkuja,,3,
Lehtimäenkatu,,1,5
Lehtimäki,,17,74
Leppäkorvenkatu,,2,
Liekokatu,,1,5
Metsolantie,,5,17
Metsä-Purrankatu,,1,364
Mikonpolku,,1,
Muurahaispolku,,1,7
Nahkolankatu,,1,22
Nosturikatu,,1,18
Närekatu,,,
Näretie,,2,7
Oksakatu,,2,
Pajakallionkatu,,2,10
Pajakatu,,1,52
Pajulankatu,,1,30
Pakkikatu,,2,6
Palokaivontie,,2,17
Perkiönkatu,,1,44
Pikkukorventie,,1,32
Porintie,,584,
Poste Restante,,,
Puomikatu,,1,6
Purrankatu,,1,21
Pyykkiojantie,,4,6
Rapinkorventie,,1,19
Ratapolku,,1,
Rattikatu,,2,5
Rengaskatu,,2,4
Riihikatu,,2,17
Rounionkatu,,77,140
Savikaistentie,,37,47
Sinkkakatu,,1,3
Suitselankatu,,1,19
Suokukanpolku,,3,5
Syylärikatu,,3,12
Talttakatu,,1,10
Tervahaudantie,,5,36
Tiilipruukinkatu,,1,4
Tourulankatu,,1,10
Vainionkatu,,2,14
Vanha Vikkula,,,
Vanhanvainionkatu,,1,3
Vasarakatu,,1,
Vehkakuja,,1,
Vihnushovi,,,
Vihnusjärvenkatu,,1,51
Vihnusjärvenrinne,,3,22
Vihnuskallionkatu,,1,29
Vihnuskatu,,5,40
Vikkulankatu,,1,53
Vikkulankuja,,66,
Vinkakatu,,1,5
Välimaankatu,,5,12
Välimaantie,,11,33
Öljytie,,2,20
