street_fi,street_sv,lono,hino
Aamunkajo,,3,
Aarikanranta,,10,
Aitta,,1,5
Ala-Vuolteentie,,65,79
Alasintie,,2,10
Annantie,,18,
Antintie,,2,29
Aronkulmankuja,,3,25
Arontie,,41,162
Asserinkuja,,23,53
Avellanintie,,1,21
Eerikinpolku,,1,19
Elersinkuja,,11,27
Elomaantie,,11,53
Elätteentie,,31,242
Erkkilänkatu,,5,
Esantie,,9,21
Haankatu,,2,8
Haapionkatu,,2,39
Haavasoja,,,
Haavasojantie,,48,273
Haistilantie,,5,184
Hakalantie,,49,
Hakanpää,,2,11
Hakatie,,2,7
Hallintoraitti,,4,
Hampulankuja,,49,57
Harellintie,,1,22
Harhiontie,,16,367
Harjusuontie,,59,
Hassalantie,,4,75
Heijastus,,2,10
Heikinkatu,,1,15
Henrikinhovi,,,
Herttoolantie,,7,15
Herttuantie,,1,28
Hiivolantie,,27,255
Hohhaanpääntie,,21,65
Huhdanmäentie,,28,32
Huivoonkuja,,12,16
Huivoonmäki,,11,25
Huivoonpolku,,1,23
Huivoontie,,2,211
Hummasaarentie,,36,
Hurvintie,,13,220
Huuhkajatie,,17,
Huvilatie,,19,53
Hynsiköntie,,9,32
Härkisuontie,,7,85
Iltarusko,,1,4
Jokipolku,,3,6
Juhanantie,,1,7
Kaisalantie,,5,11
Kajastus,,1,
Kakkulaistentie,,1,213
Kallaksenkatu,,2,10
Kalle-Kustaan Kuja,,2,8
Kalmunpolku,,15,35
Kangas-Laurintie,,19,105
Kangasvallintie,,5,31
Kankurintie,,38,62
Karimäentie,,2,38
Kartanonkoivukuja,,19,
Kartanonvoima,,6,18
Katajamäentie,,1,
Katajapuistontie,,4,16
Katavantie,,2,32
Katrinkuja,,1,
Kattelmuksentie,,107,
Katve,,3,10
Kaurulankuja,,24,39
Kauvatsantie,,189,1206
Keipinkuja,,9,146
Keskinen,,5,8
Kesäkuja,,6,14
Ketalankuja,,,
Ketolankuja,,25,29
Ketolantie,,51,333
Kielotie,,,
Kierikantie,,14,
Kilkunkatu,,1,12
Kilkunkierto,,5,30
Killinkatu,,3,31
Killinraitti,,1,4
Kirkkokatu,,,
Kirkkopolku,,,
Kirkonmetsäntie,,2,135
Kivessillantie,,2,61
Kivikkokuja,,2,9
Kivimaankuja,,6,11
Koivurinne,,9,30
Kokemäki,,,
Kolipirtinkatu,,6,16
Kolipirtti,,,
Kolsintie,,1,284
Kortekuja,,,
Koskikuja,,8,24
Koulukatu,,1,15
Krootilankatu,,1,35
Kujatie,,6,12
Kullaantie,,63,138
Kulmakuja,,1,1
Kulmalantie,,10,
Kuoppalantie,,1,31
Kupparikalliontie,,15,262
Kurjensuontie,,2,142
Kurjentie,,2,68
Kuturintie,,49,
Kuurola,,,
Kuurolantie,,2,825
Kymmenyshaantie,,1,16
Kyttälän Kylätie,,14,362
Kyttäläntie,,34,850
Kytänpolku,,8,
Kyykuja,,1,3
Käentie,,23,85
Kärkkäntie,,4,25
Kärrytie,,1,38
Kärsäntie,,26,184
Käräjätie,,1,13
Käärmekatu,,2,24
Köömilänkuja,,31,37
