street_fi,street_sv,lono,hino
Aholantie,,20,
Eerola,,,
Halkoniementie,,73,
Heikkilänahontie,,17,
Hytintie,,30,
Häähkäjoentie,,34,59
Häähkäniementie,,1,120
Häähkäniemi,,,
Jokela,,,
Jokiniementie,,1,30
Kannaksentie,,255,
Kaunismäki,,,
Ketolanlahdentie,,18,
Kirrinmäki,,,
Kivijärventie,,858,1656
Koivula,,,
Kuivajärventie,,6,
Laahalantie,,26,
Lapinjärventie,,4,315
Latopellontie,,13,315
Leukainniementie,,,
Liinalahdentie,,6,33
Linjala,,,
Markokylä,,,
Markolantie,,5,
Masontie,,58,
Myllynperäntie,,10,71
Mäenpääntie,,48,
Mäentauksentie,,4,111
Männistöntie,,20,
Nevala,,,
Nevalantie,,59,117
Niemeläntie,,19,35
Perälä,,,
Petäjäniementie,,13,
Pirttiläntie,,15,
Riihipellonkuja,,8,
Riihipellontie,,,
Soijinpurontie,,8,93
Taasilantie,,22,
Tulisaarentie,,27,
Turpeelantie,,7,35
Urpilantie,,35,79
Valkamantie,,9,
Valkeisahontie,,20,
Viitasaarentie,,870,
