street_fi,street_sv,lono,hino
Eteläpääntie,,25,
Hakimonniementie,,36,89
Hakimontie,,,
Huhtiniementie,,9,39
Jokisentie,,29,45
Kilposenlahdentie,,36,
Kilposentie,,1,22
Kivenniementie,,17,51
Kosolantie,,96,340
Kotirannantie,,66,
Lehtimäentie,,1367,2320
Luodeslammentie,,121,241
Luosantie,,18,530
Mikkolankyläntie,,9,149
Mutkankyläntie,,14,120
Ohraniementie,,12,68
Ollikkalantie,,18,83
Rannantie,,1,14
Ritolantie,,39,145
Räntiläntie,,2,186
Setäläntie,,8,18
Takalantie,,135,
Ulappaniementie,,72,105
Ulappapolku,,23,
