street_fi,street_sv,lono,hino
Ahostinkuja,,3,56
Ahvenjärventie,,49,95
Akolammentie,,68,417
Ala-Kailanen,,16,18
Hainuksenalatie,,71,165
Hainuksentie,,7,258
Hepolammentie,,89,202
Hirvihaudantie,,147,
Hopiavuorentie,,170,202
Huosjärventie,,31,83
Hurmankalliontie,,23,
Hurmantakaranta,,19,121
Hurmantie,,19,192
Husilahti,,8,28
Hämeenkankaantie,,7,216
Ihamaanjärventie,,35,184
Ihamaantie,,137,336
Iltasaarentie,,38,66
Järvelänkuja,,43,
Kailasentie,,33,167
Kanteleentie,,6,10
Karjusaarentie,,32,42
Karusalmi,,45,51
Katajaniemenkuja,,65,72
Katajaniementie,,22,232
Kattilakoskentie,,42,196
Kesälehto,,29,35
Kierminranta,,2,61
Kirkkovuorentie,,24,251
Kiurunkuja,,9,35
Kivosensillantie,,2,176
Koivuniementie,,181,390
Korpivaarantie,,148,
Korppisenranta,,21,37
Korppisenrinne,,1,45
Kortelahti,,15,17
Kortevuorentie,,51,
Koskelantie,,3,76
Koskentie,,8,210
Kukkaronkuja,,14,42
Käryskivi,,25,59
Laihalammentie,,62,72
Lammashaantie,,7,27
Langintie,,1,107
Lankilantie,,56,538
Lautaniementie,,33,35
Lehtosentie,,44,
Lehtovaarantie,,1,75
Lepokivenkuja,,15,33
Letkonkankaantie,,116,200
Liikkasentie,,3,393
Linnakangas,,15,57
Lypsyniementie,,8,66
Meripääntie,,104,154
Mustaniemi,,45,
Myllyjärvenkuja,,5,55
Myllyjärventie,,64,175
Myllyojantie,,4,55
Mäenpääntie,,1,115
Mäki-Ahontie,,26,40
Mäkisenraitti,,43,
Mäntylänkankaantie,,5,
Niinistöntie,,16,66
Niittymaantie,,84,184
Pajurinne,,45,
Pakkasenkuja,,6,83
Peltolantie,,93,244
Pihakuja,,13,55
Pitkävalkiantie,,61,85
Piutulanniementie,,23,126
Poik'Kuja,,5,22
Pollammentie,,71,140
Pyhällöntie,,180,789
Pyhältöjärvenkuja,,5,31
Pyydyslammentie,,189,250
Raitjärvenkuja,,14,94
Raitjärventie,,105,137
Rantapellontie,,11,142
Repolantie,,8,18
Riilahdenranta,,21,43
Riilahdentie,,4,780
Rossinsaari,,,
Ruokkeenkuja,,21,23
Rysäkoskentie,,2,280
Salakkamäentie,,108,122
Salmennontie,,239,263
Salmisentie,,58,
Salo-Turkiantie,,25,308
Samulintie,,23,
Siltasentie,,50,85
Sirkkamäentie,,12,
Soukkaanlahti,,23,29
Suur-Uskintie,,49,100
Syväojantie,,6,262
Särkilammentie,,46,262
Taipaleentie,,20,294
Takalammenkuja,,103,
Tammirinne,,5,11
Tilkuntie,,33,333
Tuohikkaankuja,,19,136
Tupavuorentie,,10,
Turkian Haukjärvi,,47,186
Turkiantie,,44,662
Tuvannotkontie,,244,
Tykkitie,,30,62
Uimakalliontie,,15,33
Uolaansalmentie,,125,
Vaaherlammentie,,157,241
Vasapirtintie,,34,
Viitalahdentie,,40,66
Viitaniemi,,31,
Virojärvenkuja,,48,86
Virojärvenpolku,,108,138
Virojärventie,,133,161
Virokoskenkuja,,36,66
Virokoskentie,,388,
Vironkoskentie,,401,
Vuorikallionkuja,,9,34
Vähä-Uskintie,,24,218
Välijoenpolku,,23,91
Välitie,,,
Ylimmäisentie,,97,143
