street_fi,street_sv,lono,hino
Adalmiinankatu,Adalminas Gata,1,18
Aitiopaikka,Logeplatsen,1,3
Ensi Parvi,Första Raden,1,9
Esirippu,Ridån,1,
Haapasaarentie,Aspholmsvägen,1,11
Heteniityntie,Gjutängsvägen,1,11
Isonvillasaarentie,Stora Ullholmsvägen,1,12
Kallvikintie,Kallviksvägen,80,86
Kivisaarentie,Stenholmsvägen,1,12
Kuiskaajanpolku,Sufflörstigen,1,7
Kukkavallankuja,Florios Gränd,1,4
Kultakutrinkuja,Lindagulls Gränd,1,4
Kurkimoisio,Trankyan,1,14
Kurkimoisionkuja,Trankyagränden,1,4
Lintu Sininen,Fågel Blå,1,7
Marielundin Puistotie,Marielundsallen,1,6
Marielundinaukio,Marielundsplatsen,1,4
Melakuja,Paddelgränden,1,7
Melatie,Paddelvägen,1,12
Merikorttikuja,Sjökortsgränden,1,7
Merikorttitie,Sjökortsvägen,1,15
Mustalahdentie,Svartviksvägen,1,15
Neitsytsaarentie,Jungfruholmsvägen,1,9
Permanto,Parterren,1,10
Permantokuja,Parterssgränden,1,
Pienen Villasaaren Kuja,Lilla Ullholmsgränden,1,
Pienen Villasaaren Tie,Lilla Ullholmsvägen,1,13
Piippuhylly,Piphyllan,1,5
Piippuhyllynkuja,Piphyllsgränden,1,
Pilvilinnankatu,Luftslottsgatan,2,15
Pilvilinnankuja,Luftslottsgränden,1,
Porslahdentie,Porslaxvägen,2,10
Purjetie,Segelvägen,1,12
Rantakivenpolku,Strandstensstigen,1,7
Rantakiventie,Strandstensvägen,1,38
Rasavilliuksenkuja,Bullerbasiusgränden,2,15
Refanutinpolku,Refanutstigen,3,5
Ruusuhelmenkatu,Rosenpärlegatand,1,
Sammalparrankuja,Gråmossagränden,1,7
Sampo Lappalaisen Katu,Sampo Lappelills Gatan,4,
Siniaallonkuja,Unda Marinas Gränd,1,3
Tähtisilmänkuja,Stjärnögas Gränd,1,8
