street_fi,street_sv,lono,hino
Afrikantie,Afrikavägen,2,117
Ahmakuja,Järvgränd,1,14
Aittatie,Bodvägen,1,9
Ampumaradantie,Skjutbanevägen,3,105
Annanbackantie,Annanbackavägen,8,58
Asemantie,Stationsvägen,1,41
Bergomintie,Bergomvägen,4,128
Boxintie,Boxvägen,4,414
Brantaksentie,Brantasvägen,7,152
Broaksentie,Broasvägen,16,68
Brobölentie,Brobölevägen,3,246
Brutubackantie,Brutubackavägen,6,66
Bubbiksentie,Bubbisvägen,1,55
Bölentie,Bölevägen,8,31
Bölenvuorentie,Bölebergsvägen,2,22
Degerbergintie,Degerbergsvägen,2,40
Elvis,,,
Fiskträskintie,Fiskträskvägen,4,55
Fågelsångintie,Fågelsångsvägen,12,102
Gesterbyntie,Gesterbyvägen,14,208
Granhagantie,Granhagavägen,22,26
Haapatie,Aspvägen,2,12
Hakatie,Hagvägen,8,100
Hautamäki,Bråddödsbacken,23,76
Helgträskintie,Helgträskvägen,11,103
Herralantie,Hertsbyvägen,54,350
Hindsby Larsberg,,,
Hindsbyntie,Hindsbyvägen,1,373
Hirvisuontie,Älgkärrsvägen,54,
Hirvitie,Älgvägen,2,29
Hofgårdintie,Hofgårdsvägen,9,47
Holstaksentie,Holstasvägen,19,161
Hopeapajukuja,Silverpilallén,4,
Hornbergintie,Hornbergsvägen,1,6
Humalistontie,Humlegårdsvägen,1,13
Högbackantie,,,
Högåsantie,Högåsavägen,9,
Impaksentie,Impasvägen,3,102
Iso Kylätie,Stora Byvägen,1,59
Isotalontie,Storbondsvägen,3,24
Itäinen Puistotie,Östra Parkvägen,1,5
Itäinen Suursuonkuja,Östra Storkärrsgränd,3,5
Jalavatie,Almvägen,1,7
Johannebergintie,Johannebergsvägen,3,75
Jokipuistonkaari,Åparksbågen,2,10
Jokitörmä,Åbranten,3,
Jokivarrentie,Jokivarsivägen,28,574
Jussaksentie,Jussasvägen,1,18
Juvaksentie,Juvasvägen,35,92
Jänissuontie,Harakärrsvägen,1,178
Kantoniityntie,Stubbängsvägen,2,22
Kappalaisentie,Kaplansvägen,20,196
Karhutie,Björnvägen,1,23
Kartanonrinne,Herrgårdsbrinken,1,33
Kartanontie,Gårdsvägen,32,56
