street_fi,street_sv,lono,hino
A.I. Virtasen Aukio,A.I. Virtanens Plats,1,
Aavasaksantie,Aavasaksavägen,2,13
Allastie,Bassängvägen,1,5
Annalankuja,Annebergsgränd,1,3
Arabia Huvila,Arabia Villa,24,35
Arabianaukio,Arabiaplatsen,2,
Arabiankatu,Arabiagatan,1,21
Arabianmäenpolku,Arabiabacksstigen,1,4
Arabianpolku,Arabiastigen,1,6
Arabianranta,Arabiastranden,,
Bengalinpolku,Bengalstigen,1,4
Berliininkatu,Berlingatan,1,9
Berliininkuja,Berlingränden,1,6
Birger Kaipiaisen Katu,Birger Kaipiainens Gata,1,4
Birger Kaipiaisen Piha,Birger Kaipiainens Gård,1,3
Brysselinkatu,Brysselgatan,1,10
Brysselinkuja,Brysselgränden,2,6
Damaskuksentie,Damaskusvägen,2,21
Erik Palménin Aukio,Erik Palméns Plats,1,
Ernst Lindelöfin Aukio,Ernst Lindelöfs Plats,,
Ernst Lindelöfin Katu,Ernst Lindelöfs Gata,1,
Flooranaukio,Floraplatsen,1,
Floorantie,Floravägen,3,7
Gadolininkatu,Gadolinsgatan,1,6
Gunnel Nymanin Katu,Gunnel Nymans Gata,1,12
Gunnel Nymanin Piha,Gunnel Nymans Gård,1,4
Gustaf Hällströmin Katu,Gustaf Hällströms Gata,2,
Hermannin Rantatie,Hermanstads Strandväg,40,
Hernepellonkuja,Ärtåkergränden,1,12
Hämeentie,Tavastvägen,107,178
Intiankatu,Indiagatan,1,44
J.A. Palmenin Aukio,J.A. Palmens Plats,,
Jaavankuja,Javagränd,2,4
Jaavantie,Javavägen,1,23
Jan-Magnus Janssonin Aukio,Jan-Magnus Janssons Plats,1,6
Japaninkatu,Japangatan,3,17
Jokisuunkuja,Åminnegränden,2,2
Jokisuunpolku,Åminnestigen,1,3
Jokisuuntie,Åminnevägen,1,13
Jyrängöntie,Jyränkövägen,1,7
Kaanaanaukio,Kanansplatsen,5,
Kaanaankatu,Kanansgatan,1,11
Kaanaankuja,Kanansgränden,1,
Kaanaanpiha,Kanansgården,2,4
Kaanaantie,Kanansvägen,,
Kaironkatu,Kairogatan,2,20
Kaj Franckin Aukio,Kaj Francks Plats,2,
Kaj Franckin Katu,Kaj Francks Gata,1,8
Kalastajanpolku,Fiskarstigen,1,18
Katariina Saksilaisen Katu,Katarina Av Sachsens Gata,2,14
Kauhavankuja,Kauhavagränd,1,12
Kellomäenkaari,Klockbergsbågen,1,
Keramiikkakatu,Keramikgatan,,
Kokkosaarenkatu,Ljusarörsgatan,1,8
Kokkosaarenpolku,Ljusarörsstigen,1,
Kongontie,Kongovägen,8,23
Koreankatu,Koreagatan,1,13
Koskelantie,Forsbyvägen,47,
Kotisaarenkatu,Hemholmsgatan,1,12
Kustaa Vaasan Tie,Gustav Vasas Väg,2,47
Kymintie,Kymmenevägen,1,83
Limingantie,Limingovägen,2,105
Lontoonkatu,Londongatan,1,10
Lontoonkuja,Londongränden,1,6
Mertakatu,Mjärdgatan,,
Muotoilijankatu,Designergatan,1,22
Muotoilijanpiha,Designergården,2,6
Nils Hasselblomin Katu,Nils Hasselbloms Gata,,
Palkopolku,Ärtskidsstigen,,
Pariisinkatu,Parisgatan,1,10
Pariisinkuja,Parisgränden,2,
Pietari Kalmin Katu,Pehr Kalms Gata,1,4
Pornaistenkatu,Borgnäsgatan,1,7
Pornaistenkuja,Borgnäsgränd,1,
Pornaistenniemenpolku,Borgnäsuddsstigen,1,
Posliinikatu,Porslinsgatan,1,8
Posliinipiha,Porslinsgården,1,6
Poste Restante,,,
Rajasampaanranta,Rörstrand,,
Roomankatu,Romgatan,1,10
Roomankuja,Romgränden,1,
Rörstrandinkatu,Rörstrandsgatan,1,6
Rörstrandinpiha,Rörstrandgården,1,
Sahamyllyntie,Sågkvarnsvägen,2,4
Siamintie,Siamvägen,2,22
Sotkamonkuja,Sotkamogränd,3,12
Sumatrankuja,Sumatragränd,1,4
Sumatrantie,Sumatravägen,1,11
Syyriankatu,Syriagatan,1,18
Säynäskuja,Idgränden,1,4
Säynäslahdentie,Idviksvägen,1,20
Säynäspolku,Idstigen,1,
Toini Muonan Katu,Toini Muonas Gata,1,8
Toini Muonan Piha,Toini Muonas Gård,1,4
Toukolankatu,Majstadsgatan,2,31
Toukolankuja,Majstadsgränden,1,4
Vallinkoskentie,Vallinkoskivägen,5,10
Vanhakaupunki,Gammelstaden,14,58
Vanhankaupungintie,Gammelstadsvägen,1,10
Verkatehtaanpolku,Klädesfabriksstigen,2,
Viikinmäentie,Viksbergsvägen,1,19
Viikintie,Viksvägen,1,35
Vuoksentie,Vuoksenvägen,1,
Väinö Auerin Katu,Väinö Auers Gata,1,15
Väisälänaukio,Väisäläs Plats,2,
