street_fi,street_sv,lono,hino
Aisakkaanpolku,,2,29
Auvilantie,,45,482
Enosivuntie,,27,113
Heraniementie,,10,89
Hiidenmaantie,,190,845
Hiitolanlahdentie,,2,80
Karhuniementie,,3,232
Kinko-Ojantie,,92,295
Kinkolahdentie,,70,134
Kirkkovuorentie,,166,
Koivuniementie,,53,
Koskilammintie,,7,103
Kotukoskentie,,109,551
Käpyniementie,,46,94
Lamminrinnetie,,22,67
Lehtorannantie,,,
Länkämäentie,,59,165
Maivalantie,,673,1128
Mustaniementie,,33,143
Neulaniementie,,34,132
Pakkasalmentie,,,
Pakkasenrannantie,,55,92
Pakkasensalmentie,,20,74
Penttiläntie,,31,48
Petkellahdentie,,31,261
Pimeäkorventie,,73,
Pirssipolku,,34,72
Rietsalontie,,38,196
Riistalammentie,,35,120
Riistalammintie,,35,69
Siikakoskentie,,550,1340
Sulkasenrannantie,,61,
Suurrannantie,,32,117
Tervaniementie,,40,659
Vihkiönmäentie,,308,
Vuorilahdentie,,78,
Vuorilehdontie,,31,65
