street_fi,street_sv,lono,hino
Ahokkaanranta,,1,3
Ahokkaantie,,1,10
Ahosenmutka,,5,89
Aittoharjuntie,,1,13
Aittojärventie,,2,20
Ajakantie,,11,160
Eskolantie,,69,312
Etelälahdentie,,32,93
Haapakuja,,2,4
Haapavehmaantie,,14,250
Haavikko,,,
Hallalantie,,83,126
Hautajärventie,,10,90
Hautakoskentie,,4,427
Havulankankaantie,,15,
Heinäahontie,,2,200
Heiskantie,,112,332
Hietakoskentie,,29,55
Hirvijärvenranta,,100,
Hokkalammentie,,66,82
Huhtapurontie,,111,641
Huikko,,,
Huikontie,,4,740
Humalajärventie,,47,347
Hämeenniementie,,8,
Iltaruskontie,,1,6
Iso-Vehmaisenranta,,47,
Janholantie,,2,10
Jauhovakantie,,180,200
Joutulantie,,2,19
Jussilanpolku,,1,5
Jussilanpuisto,,2,8
Jussilantie,,1,13
Juurikkaniementie,,64,140
Jylhänniementie,,33,69
Jyväskyläntie,,46,507
Kaare Pl,,,
Kaljaniementie,,71,77
Kallioperäntie,,43,95
Kalliorannanpolku,,2,29
Kanervakuja,,3,11
Kangaskoskentie,,36,70
Kanttorila,,,
Karvalintie,,2,60
Kauppakuja Miina,,,
Kekälelammentie,,19,25
Keskisenrantatie,,1,146
Keskisensalmentie,,85,
Kettukankaantie,,59,476
Kirkonkylä,,,
Kirvespelto,,3,8
Kivisuontie,,,
Koivikko,,,
Koivuperä,,4,
Kominojantie,,28,
Kontinperänpolku,,5,120
Korpikuja,,3,
Kulmala,,,
Kurjenkanta,,11,195
Kurkikalliontie,,48,
Kuuskoskentie,,18,180
Kylkispirtintie,,36,
Käpylä,,,
Käpyläntie,,1,8
Laajaniementie,,,
Laivasillantie,,40,
Lamminsuontie,,8,118
Leinikkikuja,,1,3
Leivonmäentie,,25,428
Leppälahdenväylä,,19,675
Leppälammentie,,49,83
Liikalantie,,27,105
Läsäntie,,3,8
Malviharjuntie,,1,110
Matinmutka,,25,29
Matti Niemen Tie,,11,
Maunosenpolku,,10,35
Metsäpelto,,,
Mursula,,,
Myllykankaantie,,11,95
Myllyseläntie,,437,
Mäki-Matti,,,
Mäntylä,,,
Mäntymutka,,3,19
Niemelä,,9,128
Niemistöntie,,152,190
Nisulan Kylätie,,45,804
Nisulanväylä,,21,917
Norolanpolku,,3,108
Paikkalankuja,,1,17
Paikkalanvuorentie,,7,
Paloinen,,,
Paloisentie,,1,999
Palosenjärventie,,35,358
Palosenpolku,,8,95
Palosentie,,1,18
Peltokangas,,,
Pessilänkuja,,2,7
Petäjäkuja,,1,9
Pihtijoentie,,2,180
Pihtiniityntie,,34,290
Pirtinpolku,,4,14
Pitkäjoentie,,2,248
Poikkitie,,1,10
Porvaripuisto,,4,8
Puistokuja,,4,6
Puutarhatie,,11,38
Pölkintie,,1,
Rajakalliontie,,,
Rajamäenkuja,,16,46
Rantakoivuntie,,7,43
Rantalantie,,,
Rantaluhdantie,,5,7
Rantapolku,,43,
Riihikuja,,1,21
Riitalammentie,,8,50
Ruokkee,,,
Ruokkeensaarentie,,2,95
Ruokkeentie,,108,
Rutalahdentie,,17,474
Ruuhimäentie,,444,510
Ruusulehdontie,,50,68
Rytköläntie,,627,768
Saariahontie,,9,130
Saarisenmäentie,,35,156
Saarisenraitti,,6,41
Sahinjoentie,,20,140
Salomonin Tie,,1,8
Sammalisentie,,7,120
Siikajärventie,,120,
Silanterintie,,5,25
Soimaharjuntie,,1,502
Suonperäntie,,,
Syrjäharjuntie,,3,43
Särkiharjuntie,,20,36
Sääksniementie,,136,
Taipaleenrannantie,,,
Taka-Toivakanväylä,,179,240
Talasniementie,,13,62
Toivakantie,,3,2095
Toivakka,,,
Töllinmäentie,,29,150
Urakkalahdentie,,6,400
Urakkaniementie,,23,368
Uudensillantie,,2,27
Uudispellontie,,26,81
Vakkapirtti,,2,6
Valkeisentie,,7,638
Valtatie,,3692,
Vanhansillanpuisto,,1,14
Vanhansillantie,,1,16
Varikko,,2,14
Varikontie,,3,722
Vehmaantie,,25,
Vehmassuontie,,6,151
Versotie,,3,23
Vihipolku,,,
Viialantie,,69,101
Viisarimäenkuja,,16,32
Viisarimäentie,,3,242
Viisarimäki,,,
Viisarinmäentie,,,
Väliläntie,,111,
Äikärintie,,4,20
