street_fi,street_sv,lono,hino
Aatoksenkuja,,3,
Annalantie,,2,29
Hautamäentie,,21,89
Härmäläntie,,2,12
Iidankuja,,4,
Itärannantie,,22,443
Kaivopuistonkuja,,4,
Kapeakuja,,1,4
Karviskuja,,1,8
Kenttätie,,10,25
Koskikuja,,2,4
Kurikantie,,1,5
Lehtovaarantie,,4,51
Levelänkuja,,1,
Luhtalantie,,21,33
Lätinkuja,,4,
Mäkirannantie,,2,
Niskankuja,,1,5
Nukarisentie,,32,44
Onervankuja,,1,
Paavolankuja,,3,
Peltomäenkuja,,1,23
Postikuja,,2,7
Rantatöysäntie,,211,745
Ristimäenkuja,,6,
Ruuhelantie,,23,29
Saarentie,,57,
Sepposenkyläntie,,5,204
Sepposentie,,5,9
Sepänmäentie,,3,131
Sepäntie,,,
Sippolantie,,6,39
Suopellontie,,46,56
Suulinkuja,,4,
Uusisepposentie,,76,134
Uusitie,,10,22
Valkamankuja,,3,
Vanhantehtaantie,,7,19
Verkkolahdentie,,3,
Virtalantie,,11,32
Vuorenrinne,,4,
Välimäentie,,4,6
