street_fi,street_sv,lono,hino
Ahovaarantie,,3,9
Alelan Rantatie,,4,6
Honkalammenraitti,,2,10
Ihantojoentie,,6,12
Joensuuntie,,305,328
Kaakonlammentie,,11,16
Kaisanhongantie,,52,63
Kalliovaarantie,,2,12
Kelvän Kylätie,,1,22
Kelvänjärvenpolku,,2,8
Kelvänjärvi,,6,20
Kelväntie,,231,293
Kotaniemenpolku,,4,
Kumpulanrannantie,,2,10
Lammashaantie,,1,5
Lehtolantie,,79,110
Läpikäytäväntie,,43,57
Museotie,,292,325
Pieni Ristiniementie,,3,7
Pieni-Kuorantie,,8,
Piimäkiventie,,4,7
Rantalehtolantie,,4,13
Ristiniementie,,2,12
Rädynvaarantie,,2,20
Saaripellontie,,1,4
Salminiementie,,5,14
Salonkyläntie,,1,109
Suonpäänkuja,,2,11
Särkisuontie,,15,
Tiputtajantie,,1,5
Varislahdentie,,4,
Vihilahdentie,,21,
Vihirannantie,,2,9
Viinaniemenrantatie,,5,19
