street_fi,street_sv,lono,hino
Aarnintie,,1,14
Ahjokatu,,1,
Ahotie,,1,27
Alitalonkatu,,5,15
Amarinkatu,,5,9
Annankuja,,11,
Asemakatu,,2,16
Castreninkatu,,1,29
Erkkiläntie,,,
Faarisenkaari,,7,
Färimäenkatu,,1,15
Färimäentie,,73,107
Haapakatu,,1,
Hakalankatu,,1,10
Halmetie,,1,8
Hannulankatu,,1,7
Hannuntie,,10,
Honkalankatu,,1,18
Häkkisenkatu,,1,10
Häklinkatu,,1,
Jarrukatu,,1,9
Jokikuja,,3,8
Jokivarrentie,,1,69
Junttarinkatu,,1,15
Kallioputaankatu,,1,22
Katrineholmantie,,34,
Kemintie,,2,55
Kerikatu,,1,12
Keskikuja,,1,8
Kiskokatu,,3,7
Kisällinkatu,,1,10
Koivukatu,,1,26
Koskikarintie,,1,38
Kromitie,,23,127
Kuusikonkatu,,3,14
Kuussaarentie,,1,24
Laattikatu,,1,5
Lahtelankatu,,3,
Lehtikummuntie,,1,18
Lehtokatu,,1,11
Leppäkatu,,3,13
Lindströminmutka,,1,
Linnaistenkatu,,3,17
Lossinrannankatu,,,
Lossirannankatu,,5,
Luotomäenkatu,,1,58
Länsipohjankatu,,1,55
Maijuntie,,7,
Matkailijantie,,4,49
Miukinkatu,,1,20
Muuntamokatu,,1,5
Mäkikalliontie,,2,8
Mäkikatu,,1,25
Niemikatu,,3,8
Nivakatu,,3,21
Nurmitie,,8,25
Nykäsenkatu,,4,18
Oikokatu,,1,
Ojakatu,,1,9
Ojalankatu,,1,10
Pajukatu,,3,7
Palasrinteentie,,15,47
Palosaarentie,,,
Parviaisenkatu,,,
Peräkuja,,2,6
Pirkkiönkatu,,2,18
Pohjolankatu,,1,20
Poikkikatu,,,
Puistolammintie,,1,36
Pulkkisenkuja,,4,10
Puolakatu,,1,6
Purokatu,,4,8
Putaankatu,,1,54
Raidekatu,,3,29
Rantatie,,1,11
Rantavahdinpolku,,,
Ratamestarinkatu,,2,14
Ratamontie,,1,35
Ratavartijankatu,,2,
Raumontie,,1,
Resiinakatu,,1,12
Rinnetie,,3,22
Röyttäntie,,1,11
Salonurmenkatu,,1,19
Sepänkatu,,1,8
Siilakankatu,,1,10
Sukkatehtaankatu,,5,22
Takalankatu,,3,18
Teollisuuskatu,,3,22
Thurevikinkatu,,1,35
Tohtarintie,,12,20
Torpin Rinnakkaiskatu,,1,23
Torpinkatu,,1,19
Tuomikatu,,1,12
Untolantie,,3,12
Uutelantie,,5,32
Vaihdekatu,,1,10
Vainiotie,,1,16
Varikonkatu,,2,4
Verkkotehtaankatu,,3,31
Vesalankatu,,3,10
Vesapolku,,,
Viidankatu,,3,37
Virkamaankatu,,3,27
Virtaniementie,,5,11
Vuokontie,,3,12
Vuolikaisentie,,1,44
Vuosaarenpolku,,,
Vuotintie,,8,62
Välikuja,,4,6
Ylitalonkatu,,7,22
