street_fi,street_sv,lono,hino
Aapramintie,,12,85
Ansioniementie,,55,233
Aurinkorinne,,,
Hakametsäntie,,86,
Joenniementie,,11,145
Kaiskontie,,1,75
Kanainkuja,,4,8
Koivistonkuja,,9,130
Luopioistentie,,45,1728
Lähdeniementie,,7,
Metsälehmuspolku,,20,
Murronperäntie,,21,29
Nahkurintie,,5,17
Neulaniementie,,2,26
Nivunkulmantie,,33,226
Nurinkehrääjänkatu,,3,7
Palomäentie,,56,96
Peltolankulmantie,,68,226
Puutikkalanraitti,,16,265
Puutikkalantie,,677,851
Päivättömänniementie,,3,22
Raholahdentie,,2,26
Saksalantie,,9,165
Suvirannantie,,20,36
Tanelintie,,11,48
Virranniementie,,1,17
Virransilta,,,
Virrantie,,4,
