street_fi,street_sv,lono,hino
Antinjärventie,,3,42
Hallasenahontie,,3,
Hinkusuontie,,,
Hoikansaarentie,,3,8
Hyövynvaarantie,,4,12
Ittolantie,,13,31
Jouhikas,,,
Jysmänniementie,,2,21
Kaunisahontie,,11,21
Keikanniementie,,3,5
Kellovaarantie,,5,7
Ketolantie,,12,16
Kylmäniementie,,3,9
Kyntöläntie,,25,29
Käärmejärventie,,30,
Käärnejärventie,,,
Lamponiementie,,7,9
Matoniementie,,3,3
Nuottivaarantie,,,
Perttiläntie,,3,11
Riuskantie,,,
Runtintie,,1,6
Rytiläntie,,11,31
Saviniementie,,,
Seiväsrannantie,,2,8
Seläntie,,35,
Soidinvaarantie,,,
Sutelantie,,1,38
Särkkä-Karilantie,,1,11
Toukkalantie,,5,
Varpusaarentie,,1,6
Vasaraniementie,,6,
Vasarantie,,10,138
Viitaniementie,,1,13
Viitostie,,753,885
Virsuniementie,,9,11
Vääräkoskentie,,13,
Walkialahdentie,,8,
