street_fi,street_sv,lono,hino
Alasintie,,1,12
Eerontie,,1,
Harjapäänkatu,,33,
Ilmarinkatu,,2,16
Jääsalontie,,10,22
Kallisenhaara,,1,4
Kallisenkaarre,,1,5
Kallisenperä,,,
Kallisensuora,,3,5
Kallisentie,,,
Kempeleentie,,1,9
Krouvintie,,1,9
Limingantie,,2,4
Lumijoentie,,1,12
Nuottasaarentie,,1,17
Oritkarinkuja,,,
Oritkarintie,,1,8
Paperitehtaantie,,1,
Poikkimaantie,,4,18
Rautatienkatu,,72,92
Rautionkatu,,1,28
Temmeksentie,,1,11
Terminaalitie,,2,9
Tyrnävänkuja,,,
Tyrnävänperä,,6,
Tyrnäväntie,,1,16
Voudintie,,1,11
Äimäkuja,,1,6
Äimärautiontie,,1,14
Äimätie,,2,5
