street_fi,street_sv,lono,hino
Apanäsintie,Apanäsvägen,32,170
Bastuhamnintie,Bastuhamnsvägen,3,390
Brännäsintie,Brännäsvägen,92,179
Eidiksentie,Eidisvägen,25,333
Heimnäsintie,Heimnäsvägen,2,61
Husholmintie,Husholmsvägen,14,55
Kivisaarentie,Stensholmsvägen,210,
Marsundintie,Marsundsvägen,5,45
Målasvikintie,Målasviksvägen,34,170
Ollaksenkuja,Ollasgränden,12,17
Reviikintie,Reviksvägen,6,57
Riuttaniementie,Revuddsvägen,11,96
Sikvarpintie,Sikvarpsvägen,1,109
Sticksteninkuja,Stickstensgränden,27,
Söderbyntie,Söderbyvägen,77,385
Vanha Söderbyntie,Gamla Söderbyvägen,13,61
Viikien Tie,Vikarnas Väg,6,16
Väliniementie,Millarsnäsvägen,31,59
