street_fi,street_sv,lono,hino
Ahdekuja,,1,14
Ahoniitynkuja,,2,
Alapellontie,,6,87
Alapolku,,3,
Arokuja,,1,9
Elkkolankuja,,8,20
Elokuja,,1,4
Etupolku,,2,4
Fasaanikuja,,1,23
Haavistonpolku,,13,54
Haiminpolku,,1,5
Harakkakuja,,1,12
Harakkalammentie,,,
Harjupolku,,1,4
Haukanmäentie,,29,49
Hautalanpolku,,3,22
Hautalantie,,13,438
Hietikonkuja,,18,20
Hirsitie,,1,6
Hirvikiventie,,7,57
Honkatalonpolku,,10,36
Hossinpolku,,15,
Hossintie,,3,70
Hurmanmäentie,,1,19
Hyyryntie,,10,371
Iitanpolku,,1,12
Ilomäenkuja,,47,49
Ilomäentie,,54,
Jaakonmäentie,,11,62
Joutjärventie,,1,30
Juhonranta,,29,60
Kalevantie,,1,18
Kansikkaantie,,17,76
Kartanonkuja,,1,156
Katajasuonkuja,,5,19
Keskitie,,5,44
Kevätintie,,2,46
Kipparilantie,,556,938
Kirvesniemenranta,,18,96
Kivikuja,,8,16
Kiviniemenkuja,,17,31
Kivistönkuja,,2,11
Koimäenpolku,,14,24
Koipiantie,,64,427
Kolkankuja,,1,6
Kujalantie,,6,19
Kuninkaankivenraitti,,24,36
Kustaa Iii Tie,,1,23
Kuukantie,,72,358
Kytölammentie,,14,60
Kytölänkuja,,9,21
Käkiraitti,,1,6
Lahdenpohjantie,,5,115
Lammenpolku,,2,36
Lankkutie,,1,13
Leenanpolku,,1,14
Lehminiemenpolku,,20,50
Leikkipolku,,4,
Leivosentie,,1,5
Leuankallionkuja,,15,98
Lintojantie,,17,73
Lisätie,,1,9
Lukionkaari,,1,3
Lukkarintie,,1,
Lönnintie,,12,318
Malminkuja,,1,17
Mannarintie,,5,221
Marjaniementie,,11,69
Matalasillantie,,1,18
Metsähukalantie,,11,134
Miettulantie,,16,176
Mikkelintie,,407,910
Multahovintie,,710,
Multamäentie,,95,929
Munteenlahdenpolku,,38,52
Museokuja,,1,4
Mökkikuja,,5,15
Naakankuja,,,
Naurisniementie,,61,81
Neidonpolku,,1,12
Niementie,,1,13
Nikulanniementie,,6,28
Notkokuja,,1,16
Nuuttilankyläntie,,539,
Ojansuuntie,,3,18
Ojapellontie,,1,25
Oskarinpolku,,2,27
Pajaharjuntie,,3,11
Palstapolku,,1,8
Papinmäentie,,6,109
Pekkolantie,,2,9
Peltopolku,,1,6
Pelttarinpolku,,1,6
Peräkyläntie,,18,47
Peuhuntie,,12,420
Pistotie,,4,
Pitkäpolku,,4,26
Puhjonpolku,,29,115
Puhjonrannantie,,4,80
Puhjonsalmentie,,33,224
Pyörämäentie,,24,72
Pälvimutka,,1,5
Pöngäntie,,38,91
Raminpolku,,24,40
Rantapolku,,2,4
Rapolankuja,,9,11
Rapsukantie,,15,29
Repokuja,,1,6
Revontie,,1,34
Riihitallinpolku,,2,10
Ritarintie,,7,28
Röykynmäentie,,1,15
Saarenkallionraitti,,23,31
Saarentie,,71,277
Sarannontie,,2,21
Sattumantie,,1,16
Saunasaari,,1,3
Savistontie,,77,
Siepontie,,1,25
Sinitiaisentie,,1,6
Sivutie,,1,3
Somurantie,,1,298
Sulkavantie,,80,102
Sydänmaanraitti,,55,381
Sädekuja,,2,8
Telmanpolku,,4,6
Tilhitie,,1,7
Toikkalantie,,1,13
Tuomarinmäentie,,4,
Tuomelantie,,2,23
Tupakkamäentie,,6,47
Turkkilantie,,1,12
Töyrytie,,10,36
Uimarannantie,,1,79
Umpikuja,,3,6
Urontie,,43,454
Valtatie,,15,
Vanhalanpolku,,18,
Vanhatie,,1,29
Varastokuja,,1,
Vierukuja,,1,16
Viljapolku,,1,6
Virrankuja,,3,38
Yläpolku,,1,6
