street_fi,street_sv,lono,hino
Aarniontie,,3,14
Aarontie,,24,36
Ahteentie,,4,6
Ajosmäentie,,19,159
Alasentie,,3,87
Anninpolku,,3,
Haaramo,,19,
Hakolammintie,,6,26
Hannanhaantie,,6,81
Heinisuontie,,2,31
Honkarinteentie,,19,
Hounintie,,8,
Huhdantie,,21,25
Jussilantie,,21,
Jussinmäentie,,41,
Kaitijärventie,,40,
Kaitilantie,,2,135
Kallioniementie,,5,14
Kallioranta,,47,89
Kannistontie,,,
Karimäentie,,20,
Katajakierros,,8,11
Kauraojanpolku,,7,
Kauraojantie,,35,
Kitinkarintie,,4,
Koivikkotie,,8,24
Koivulammentie,,5,
Koivunotkontie,,6,38
Koivusenporras,,11,
Koluojantie,,2,12
Komunmutka,,10,68
Komuntie,,5,62
Korkeentie,,30,72
Korpitie,,5,9
Kotiharjuntie,,1,15
Kotimäentie,,2,
Kotipihantie,,11,45
Kukkarokorventie,,9,72
Kultapolku,,12,18
Kultarannantie,,124,
Kultaranta,,84,136
Kuruntie,,716,1252
Kuusela,,7,9
Kyöstiläntie,,3,21
Lammassaarentie,,1,5
Lehmisuontie,,39,51
Lehtiläntie,,9,23
Lehtimäentie,,4,62
Lehtomäentie,,3,15
Lehtopolku,,6,
Lehtovaarantie,,9,29
Lempiäniemen-Telakantie,,44,121
Lempiäniementie,,1,400
Lepistöntie,,1,87
Leponiityntie,,,
Loonamistontie,,10,213
Luhdanvuorentie,,5,36
Mantilantie,,10,16
Marttilanniementie,,10,81
Mattelmäentie,,12,
Metsäkulmantie,,2,13
Metsälammentie,,2,50
Monttutie,,15,
Murrontie,,50,
Mustanlahdentie,,5,85
Muuntajantie,,2,11
Muurainsuontie,,24,30
Mäkelän Rantatie,,4,35
Mäkeläntie,,,
Männistöntie,,20,63
Niemelänlahdentie,,10,46
Nurmilaaksontie,,3,21
Nälkäperäntie,,15,
Oinonrinteentie,,4,68
Oinontie,,,
Oksijärvi,,7,290
Oksirinne,,5,287
Opistontie,,18,55
Oralantie,,5,
Otavanniemi,,13,102
Otavannokanpolku,,10,
Parventie,,10,18
Paununniemi,,41,
Perttulanlahdentie,,4,6
Peräsillantie,,7,
Pieskantie,,15,17
Pikku-Otavan Saari,,,
Pikkulammintie,,7,
Pimeesalmentie,,4,
Poste Restante,,,
Puskintie,,7,19
Puurilantie,,11,29
Rajatie,,10,
Rantakalliontie,,83,105
Riihentie,,26,
Ritarinsalmenranta,,25,
Ritarisalmenranta,,7,25
Runsaantie,,15,64
Ruokotie,,6,
Ryttyläinen,,10,20
Savelantie,,5,
Seinitie,,31,43
Seinivuorentie,,11,23
Sireeninniementie,,103,
Sommerssintie,,22,
Suojalantie,,15,41
Suvitie,,10,62
Säynäväahde,,4,18
Säynäväjärventie,,5,128
Talvialantie,,11,33
Tarhurintie,,7,20
Tullantie,,3,14
Tulppatie,,5,11
Tuulentie,,14,16
Tähtipolku,,18,
Vaessuontie,,10,22
Vaesuontie,,12,
Vahantaluhdantie,,2,125
Varissaarentie,,7,21
Visiopolku,,1,
Vyhtyläisentie,,2,160
Välimäentie,,9,49
