street_fi,street_sv,lono,hino
Ansakuja,,1,10
Inkilänmäenkatu,,10,32
Inkiläntie,,1,12
Jäniksenpolku,,1,5
Kallantie,,1,13
Kanneltie,,1,18
Katajatie,,1,12
Kemilänrinne,,1,5
Kemiläntie,,2,12
Kiuruntie,,4,40
Käenkuja,,1,
Leivosentie,,1,30
Näsiäkuja,,1,15
Oikopolku,,2,50
Pajutie,,1,9
Peipposentie,,1,32
Pihlajaharju,,,
Pihlajaharjuntie,,2,23
Pohjantikantie,,1,16
Poukamankatu,,1,33
Poukamantie,,51,55
Puijontie,,4,
Pyynpolku,,8,12
Rahusentie,,1,21
Raitatie,,1,23
Rastaantie,,1,48
Ritakuja,,1,12
Ritosentie,,1,76
Ruutikellarinkatu,,1,24
Ruutikuja,,2,
Seljatie,,4,8
Siepontie,,3,5
Sirkkusentie,,8,42
Sisustajantie,,6,8
Tiaisenkuja,,3,
Tiaisenpolku,,1,32
