street_fi,street_sv,lono,hino
Aittoniementie,,,
Haapainniementie,,67,75
Jatanniementie,,32,
Katajatie,,5,13
Keskitie,,7,19
Kivikkoniementie,,1,21
Koivula,,,
Kotkatniementie,,146,
Lasiniementie,,45,
Lasiniemi,,,
Mekkojärventie,,179,
Myllyntie,,9,
Mäntysaari,,,
Niittyniementie,,9,78
Oriharju,,,
Paloniementie,,42,
Pihtiputaantie,,44,94
Rantakaarre,,1,
Rantatie,,9,60
Rutasaarentie,,300,
Saarenkyläntie,,107,286
Saarensalmi,,,
Salmela,,,
Seppäläntie,,26,
Vahtilantie,,43,
Vanhatie,,9,13
Viitasaarentie,,30,1905
