street_fi,street_sv,lono,hino
Ahjokatu,,1,3
Alatie,,1,15
Ampiaisentie,,1,29
Ankkakuja,,1,10
Erolankatu,,4,11
Etanatie,,1,
Eteläpoikkikatu,,6,30
Hattaratie,,1,8
Havumetsäntie,,3,7
Heinäperhosenkatu,,2,16
Heinäsirkantie,,1,20
Hepokatintie,,1,30
Huurretie,,1,19
Huvisuulintie,,1,10
Hyvelänraitti,,17,169
Hyveläntie,,1,31
Hyväntuulentie,,1,60
Häröntie,,1,12
Iltaruskontie,,1,6
Isokuusentie,,2,61
Isoluodontie,,1,10
Isoperkontie,,21,101
Isännänpolku,,2,14
Itäpitkäkatu,,1,32
Itärantakatu,,1,139
Jauhiaisentie,,1,10
Jousentie,,2,8
Jääräntie,,1,9
Kaaliperhosenkatu,,1,21
Kanavakatu,,1,16
Kanavakuja,,4,
Kansakoulukatu,,3,71
Kansankatu,,1,27
Kappalaisentie,,1,15
Karttatie,,1,30
Kastetie,,1,12
Kehäkuja,,1,25
Kehäkujan Jatke,,,
Kehäpolku,,1,5
Kempintie,,2,9
Kennokuja,,1,4
Keskikatu,,1,26
Kiitäjäntie,,2,10
Kimalaisentie,,1,31
Kirjosiivenkuja,,1,
Kirvantie,,1,10
Klihtakuja,,3,6
Kolitie,,11,37
Kolmiokatu,,1,
Korennontie,,1,24
Kotkantie,,1,
Kuoriaisentie,,1,9
Kuovintie,,3,12
Kuusiluodontie,,2,18
Kuutamopolku,,3,
Kuutamotie,,1,8
Kylänraitti,,2,106
Käyräkatu,,1,6
Laaksokatu,,1,26
Lehtokatu,,1,8
Lepakkotie,,1,40
Lotskerinkuja,,6,38
Lotskerinrinne,,17,30
Lotskerintie,,4,55
Loukkukuja,,3,6
Lukkarintie,,1,8
Luotokatu,,1,6
Matinpolku,,1,6
Mehiläisentie,,1,23
Metsäkananaukio,,2,8
Metsäkanantie,,1,12
Metsärinteentie,,13,89
Mettiäisentie,,1,33
Muuntajakatu,,1,22
Myyrätie,,2,34
Mäkitie,,4,12
Nahkurinkatu,,1,22
Nokkosperhosenkatu,,3,11
Nuottakuja,,5,8
Närviäisentie,,1,6
Osteritie,,1,9
Paarmantie,,1,19
Pakankuja,,3,87
Palokärjenaukio,,2,6
Palokärjentie,,4,23
Papintie,,2,8
Pappilanpuistikko,,3,7
Peltopyyntie,,1,24
Peräkatu,,1,60
Peräsimentie,,7,19
Pikkukuusentie,,1,8
Pilvitie,,1,8
Pinjanpolku,,3,
Pistiäisentie,,1,13
Pohjoispoikkikatu,,2,10
Pohjoisraitti,,1,34
Pohjoisväylä,,3,
Poutapilventie,,1,8
Raputie,,1,12
Riekontie,,1,12
Riivinkuja,,3,6
Ristijuovantie,,3,21
Ritariperhontie,,1,48
Routatie,,1,18
Ruosniemenkatu,,,
Ruosniementie,,1,23
Rännärinraitti,,1,5
Siilitie,,2,34
Simpukkatie,,1,25
Sumutie,,1,17
Sänkkäilyntie,,1,6
Sääksenpolku,,1,
Sääksentie,,1,18
Tammihäräntie,,1,14
Tikantie,,1,12
Tilhinkuja,,1,10
Tipurinkatu,,9,48
Toejoenpuistikko,,3,35
Toejoenrantakatu,,34,108
Tuomikatu,,1,24
Turilaantie,,1,20
Tuulihaukanaukio,,2,6
Tuulihaukantie,,1,22
Tuulikatu,,1,18
Tynkäkuja,,1,
Tyynenpolku,,1,
Ukkometsontie,,1,11
Urheilumajantie,,2,43
Usvapolku,,1,6
Usvatie,,1,18
Ututie,,1,16
Vainiontie,,2,7
Vanhakatu,,1,
Vanhasahankatu,,3,
Varpaankuja,,7,25
Vasarakuja,,1,12
Viirupöllöntie,,1,25
Viistokatu,,2,
Vähäluodontie,,1,72
Väkäkuja,,3,5
Välittäjänkatu,,2,8
Ylätie,,1,64
Äijöntie,,2,10
Äyriäispolku,,2,7
Äyriäistie,,2,6
