street_fi,street_sv,lono,hino
Ainantie,,8,38
Aittastentie,,8,182
Jaurintie,,976,1075
Karhulantie,,13,91
Kaurajärventie,,9,585
Kleemolantie,,10,34
Klunkantie,,20,24
Komilantie,,8,23
Koskuusrannantie,,2,160
Lamminkoskentie,,2,22
Lehmäjoentie,,861,1275
Luhtasaarentie,,7,41
Luomankyläntie,,17,139
Petsamontie,,15,438
Rekipellontie,,8,73
Rengontie,,14,63
Salomaantie,,19,65
Sarvikankaantie,,65,140
Tikkurintie,,2,155
Tuurilantie,,12,14
Tuurinkoskentie,,1,62
Untamalantie,,31,457
Vakkurintie,,29,173
Venesaarentie,,10,80
