street_fi,street_sv,lono,hino
Etumartinkatu,,1,27
Etumartinkuja,,1,
Harjanteenkaari,,2,32
Heilinpolku,,2,6
Iltamantie,,3,7
Isonkallionkatu,,2,18
Isonkallionkierto,,1,21
Jenkkatie,,1,
Juolukkatie,,1,8
Juurakonkierto,,1,27
Jäkäläkuja,,1,4
Kaarnatie,,1,6
Kaislatie,,1,10
Karpalonkierto,,1,26
Katajakallionkatu,,2,35
Katajanmarjantie,,1,4
Keskitalontie,,1,10
Kevätpiipontie,,1,12
Kiviharjuntie,,3,
Kivimäentie,,3,
Kivisillantie,,1,24
Koivuhaantie,,1,5
Kortetie,,1,3
Kotikoivuntie,,1,5
Kotipihlajantie,,1,6
Kultapiiskuntie,,1,17
Kurjenpolventie,Skogsnävsvägen,1,18
Kuusikontie,,2,4
Kuusimäentie,,1,4
Kuutamopolku,,,
Kuutamotie,,1,5
Kynnöstie,,1,8
Laulajankuja,,2,
Lehtokuja,,1,5
Lehtolankierto,,1,32
Lehtometsäntie,,1,13
Lepolantie,,1,3
Lillukankuja,,1,3
Linnanmäentie,,1,33
Liukkosentie,,1,12
Liukonkuja,,1,3
Luhtatie,,1,30
Mahlatie,,1,3
Mansikka-Ahontie,,1,5
Mansikkamäentie,,1,8
Martinlehdontie,,3,7
Martinlähteenkierto,,1,42
Martinlähteentie,,1,23
Martinojantie,,1,13
Martinsyrjänpolku,,,
Martinsyrjäntie,,3,14
Martintorinkuja,,2,
Mesimarjantie,,2,17
Metsäkallionkatu,,,
Mäensyrjänpolku,,,
Mäensyrjäntie,,2,6
Natatie,,1,3
Niittymäenraitti,,6,
Niittymäentie,,2,6
Niittytie,,1,
Niittyvillankierto,,1,32
Noronkierto,,1,14
Noropolku,,,
Oravanmarjantie,,2,21
Paatsamantie,,1,11
Pajupillintie,,1,10
Palo-Ojantie,,1,16
Pavinmäenkatu,,6,10
Pavintie,,1,12
Pellonojantie,,1,22
Pellonpääntie,,3,15
Pellonreunantie,,1,20
Petäjäisentie,,1,10
Pihkatie,,1,4
Pojantie,,1,8
Polkkakuja,,1,
Polkkatie,,2,24
Porvoonväylä,,15,19
Punaojantie,,1,11
Puolukkatie,,2,26
Rahkasammaleentie,,,
Rakovalkeantie,,1,21
Ratatöyrääntie,,1,9
Ruskakatu,,1,5
Rääkänkatu,,1,11
Sarkaojantie,,1,14
Saviojantie,,3,13
Seljankuja,,1,6
Sillankorvankatu,,3,66
Sinivuokonkuja,,1,3
Sinivuokontie,,2,27
Soittajankuja,,1,
Solistintie,,2,7
Syrjäntie,,,
Takamartinpolku,,5,36
Takamartintie,,1,9
Takaniityntie,,3,18
Talvikinkierto,,3,18
Tanhukuja,,,
Tanssikallionkatu,,5,
Tanssilavantie,,1,13
Tapainlinnankatu,,9,
Tervaskannontie,,2,8
Tervastie,,1,10
Tuohitie,,1,8
Tytöntie,,1,5
Vaapukantie,,2,6
Valkovuokontie,,1,12
Vanamontie,,2,9
Viherkatu,,1,6
Virpitie,,1,10
Välipellontie,,1,6
Väriojankatu,,3,25
